outlet,stories_per_1000_developing_country,stories_per_1000_developed_country,stories_per_1000_high_income_country
The Japan Times (Japan),6.13,4.08,0.43
Al Jazeera (Qatar),5.3,2.64,0.73
The New York Times (US),3.98,2.03,0.56
The Guardian (UK),3.88,2.06,0.45
Punch (Nigeria),3.35,2.96,0.28
South China Morning Post (China),3.28,1.96,0.23
TASS (Russia),3.27,1.09,0.04
CNN (US),1.86,1.08,0.51
The Star (Malaysia),1.39,0.71,0.15
The Times of India (India),1.04,0.9,0.1
BBC (UK),0.63,0.34,0.09
Fox News (US),0.6,0.35,0.07
