rank,economy,iso3,status,run_start,run_end,duration_years,tag,year,years_since_entry,gni_per_capita_atlas_usd,hic_threshold_usd,income_pct_of_line,income_pct_censored_100,latest_income_pct_of_line,distance_to_median_years
1,China,CHN,ongoing,2010,2025,15,,2010,0,4410.0,12275.0,35.93,35.93,98.99,1.14
1,China,CHN,ongoing,2010,2025,15,,2011,1,5130.0,12475.0,41.12,41.12,98.99,1.14
1,China,CHN,ongoing,2010,2025,15,,2012,2,6010.0,12615.0,47.64,47.64,98.99,1.14
1,China,CHN,ongoing,2010,2025,15,,2013,3,6860.0,12745.0,53.83,53.83,98.99,1.14
1,China,CHN,ongoing,2010,2025,15,,2014,4,7600.0,12735.0,59.68,59.68,98.99,1.14
1,China,CHN,ongoing,2010,2025,15,,2015,5,8040.0,12475.0,64.45,64.45,98.99,1.14
1,China,CHN,ongoing,2010,2025,15,,2016,6,8360.0,12235.0,68.33,68.33,98.99,1.14
1,China,CHN,ongoing,2010,2025,15,,2017,7,8830.0,12055.0,73.25,73.25,98.99,1.14
1,China,CHN,ongoing,2010,2025,15,,2018,8,9720.0,12375.0,78.55,78.55,98.99,1.14
1,China,CHN,ongoing,2010,2025,15,,2019,9,10510.0,12535.0,83.85,83.85,98.99,1.14
1,China,CHN,ongoing,2010,2025,15,,2020,10,10740.0,12695.0,84.6,84.6,98.99,1.14
1,China,CHN,ongoing,2010,2025,15,,2021,11,12220.0,13205.0,92.54,92.54,98.99,1.14
1,China,CHN,ongoing,2010,2025,15,,2022,12,13170.0,13845.0,95.12,95.12,98.99,1.14
1,China,CHN,ongoing,2010,2025,15,,2023,13,13750.0,14005.0,98.18,98.18,98.99,1.14
1,China,CHN,ongoing,2010,2025,15,,2024,14,13660.0,13935.0,98.03,98.03,98.99,1.14
1,China,CHN,ongoing,2010,2025,15,,2025,15,14230.0,14375.0,98.99,98.99,98.99,1.14
2,Kazakhstan,KAZ,ongoing,2006,2025,19,,2006,0,3670.0,11115.0,33.02,33.02,95.58,5.62
2,Kazakhstan,KAZ,ongoing,2006,2025,19,,2007,1,4740.0,11455.0,41.38,41.38,95.58,5.62
2,Kazakhstan,KAZ,ongoing,2006,2025,19,,2008,2,5870.0,11905.0,49.31,49.31,95.58,5.62
2,Kazakhstan,KAZ,ongoing,2006,2025,19,,2009,3,6580.0,12195.0,53.96,53.96,95.58,5.62
2,Kazakhstan,KAZ,ongoing,2006,2025,19,,2010,4,7210.0,12275.0,58.74,58.74,95.58,5.62
2,Kazakhstan,KAZ,ongoing,2006,2025,19,,2011,5,8030.0,12475.0,64.37,64.37,95.58,5.62
2,Kazakhstan,KAZ,ongoing,2006,2025,19,,2012,6,9640.0,12615.0,76.42,76.42,95.58,5.62
2,Kazakhstan,KAZ,ongoing,2006,2025,19,,2013,7,11490.0,12745.0,90.15,90.15,95.58,5.62
2,Kazakhstan,KAZ,ongoing,2006,2025,19,,2014,8,11720.0,12735.0,92.03,92.03,95.58,5.62
2,Kazakhstan,KAZ,ongoing,2006,2025,19,,2015,9,11040.0,12475.0,88.5,88.5,95.58,5.62
2,Kazakhstan,KAZ,ongoing,2006,2025,19,,2016,10,8500.0,12235.0,69.47,69.47,95.58,5.62
2,Kazakhstan,KAZ,ongoing,2006,2025,19,,2017,11,7780.0,12055.0,64.54,64.54,95.58,5.62
2,Kazakhstan,KAZ,ongoing,2006,2025,19,,2018,12,7800.0,12375.0,63.03,63.03,95.58,5.62
2,Kazakhstan,KAZ,ongoing,2006,2025,19,,2019,13,8500.0,12535.0,67.81,67.81,95.58,5.62
2,Kazakhstan,KAZ,ongoing,2006,2025,19,,2020,14,8380.0,12695.0,66.01,66.01,95.58,5.62
2,Kazakhstan,KAZ,ongoing,2006,2025,19,,2021,15,8540.0,13205.0,64.67,64.67,95.58,5.62
2,Kazakhstan,KAZ,ongoing,2006,2025,19,,2022,16,9400.0,13845.0,67.89,67.89,95.58,5.62
2,Kazakhstan,KAZ,ongoing,2006,2025,19,,2023,17,10710.0,14005.0,76.47,76.47,95.58,5.62
2,Kazakhstan,KAZ,ongoing,2006,2025,19,,2024,18,12100.0,13935.0,86.83,86.83,95.58,5.62
2,Kazakhstan,KAZ,ongoing,2006,2025,19,,2025,19,13740.0,14375.0,95.58,95.58,95.58,5.62
3,Iraq,IRQ,ongoing,2012,2025,13,,2012,0,5980.0,12615.0,47.4,47.4,39.58,12.57
3,Iraq,IRQ,ongoing,2012,2025,13,,2013,1,6620.0,12745.0,51.94,51.94,39.58,12.57
3,Iraq,IRQ,ongoing,2012,2025,13,,2014,2,6440.0,12735.0,50.57,50.57,39.58,12.57
3,Iraq,IRQ,ongoing,2012,2025,13,,2015,3,5460.0,12475.0,43.77,43.77,39.58,12.57
3,Iraq,IRQ,ongoing,2012,2025,13,,2016,4,5060.0,12235.0,41.36,41.36,39.58,12.57
3,Iraq,IRQ,ongoing,2012,2025,13,,2017,5,4430.0,12055.0,36.75,36.75,39.58,12.57
3,Iraq,IRQ,ongoing,2012,2025,13,,2018,6,4820.0,12375.0,38.95,38.95,39.58,12.57
3,Iraq,IRQ,ongoing,2012,2025,13,,2019,7,5520.0,12535.0,44.04,44.04,39.58,12.57
3,Iraq,IRQ,ongoing,2012,2025,13,,2020,8,4720.0,12695.0,37.18,37.18,39.58,12.57
3,Iraq,IRQ,ongoing,2012,2025,13,,2021,9,4740.0,13205.0,35.9,35.9,39.58,12.57
3,Iraq,IRQ,ongoing,2012,2025,13,,2022,10,5510.0,13845.0,39.8,39.8,39.58,12.57
3,Iraq,IRQ,ongoing,2012,2025,13,,2023,11,5920.0,14005.0,42.27,42.27,39.58,12.57
3,Iraq,IRQ,ongoing,2012,2025,13,,2024,12,6030.0,13935.0,43.27,43.27,39.58,12.57
3,Iraq,IRQ,ongoing,2012,2025,13,,2025,13,5690.0,14375.0,39.58,39.58,39.58,12.57
4,Thailand,THA,ongoing,2010,2025,15,,2010,0,4490.0,12275.0,36.58,36.58,53.5,13.26
4,Thailand,THA,ongoing,2010,2025,15,,2011,1,4840.0,12475.0,38.8,38.8,53.5,13.26
4,Thailand,THA,ongoing,2010,2025,15,,2012,2,5400.0,12615.0,42.81,42.81,53.5,13.26
4,Thailand,THA,ongoing,2010,2025,15,,2013,3,5580.0,12745.0,43.78,43.78,53.5,13.26
4,Thailand,THA,ongoing,2010,2025,15,,2014,4,5620.0,12735.0,44.13,44.13,53.5,13.26
4,Thailand,THA,ongoing,2010,2025,15,,2015,5,5560.0,12475.0,44.57,44.57,53.5,13.26
4,Thailand,THA,ongoing,2010,2025,15,,2016,6,5550.0,12235.0,45.36,45.36,53.5,13.26
