# chart,"Every economy as a multiple of world GNI per capita, 2026"
# source,"World Bank WDI, GNI per capita, Atlas method (NY.GNP.PCAP.CD) and population (SP.POP.TOTL); World Bank OGHIST (1 July 2026) for the operational thresholds; UN World Population Prospects 2024, medium variant; author's calculations and projections. Schellekens 2026, The Great Income Inversion, Moving Frontiers."
# note,World GNI per capita is $14801 in 2026. The ratio column is each economy's GNI per capita divided by that.
# note,Burundi at 0.016 times and Bermuda at 9.72 times span a 592-fold range.
# note,Bubble area on the chart follows a logarithmic population scale; economies under ten million people are drawn at a fixed minimum size. The bubble_area column reproduces it.
# note,"Every person carries their own country's average, so these are measures of inequality between countries, not within them. A survey-based measure would be considerably wider."
# note,Values from 2026 reflect a nowcast based on a conservative constant-pace scenario that replicates country-level median per capita income growth over the last decade. See Schellekens 2026 for methodology.

rank_poorest_to_richest,iso3,economy,gni_per_capita_usd,ratio_to_world_average,population_millions,bubble_area,side_of_world_average
1,BDI,Burundi,243.0,0.0164,14.729,10.4,below
2,AFG,Afghanistan,394.9,0.0267,45.047,47.7,below
3,MDG,Madagascar,577.3,0.039,33.522,27.9,below
4,CAF,Central African Republic,578.6,0.0391,5.699,10.0,below
5,MOZ,Mozambique,581.1,0.0393,36.64,32.8,below
6,MWI,Malawi,611.2,0.0413,22.786,14.9,below
7,SOM,"Somalia, Fed. Rep.",661.0,0.0447,20.306,12.9,below
8,COD,"Congo, Dem. Rep.",752.0,0.0508,116.452,209.0,below
9,NER,Niger,769.5,0.052,28.815,21.4,below
10,SLE,Sierra Leone,840.3,0.0568,8.997,10.0,below
11,LBR,Liberia,856.6,0.0579,5.854,10.0,below
12,SDN,Sudan,911.2,0.0616,53.283,64.0,below
13,GMB,"Gambia, The",979.5,0.0662,2.884,10.0,below
14,TCD,Chad,982.1,0.0664,21.56,13.8,below
15,BFA,Burkina Faso,1005.4,0.0679,24.602,16.6,below
16,MLI,Mali,1149.2,0.0776,25.932,18.0,below
17,GNB,Guinea-Bissau,1150.6,0.0777,2.298,10.0,below
18,UGA,Uganda,1167.2,0.0789,52.761,63.0,below
19,ETH,Ethiopia,1172.1,0.0792,138.902,262.0,below
20,RWA,Rwanda,1214.3,0.082,14.89,10.4,below
21,ZMB,Zambia,1214.9,0.0821,22.522,14.6,below
22,LSO,Lesotho,1295.9,0.0876,2.389,10.0,below
23,TZA,Tanzania,1301.2,0.0879,72.564,106.1,below
24,MMR,Myanmar,1336.4,0.0903,55.185,68.0,below
25,NGA,Nigeria,1376.9,0.093,242.432,494.0,below
26,TGO,Togo,1407.9,0.0951,8.777,10.0,below
27,TLS,Timor-Leste,1528.8,0.1033,1.437,10.0,below
28,PAK,Pakistan,1564.1,0.1057,259.3,529.6,below
29,NPL,Nepal,1657.3,0.112,29.629,22.4,below
30,BEN,Benin,1658.7,0.1121,15.17,10.5,below
31,SEN,Senegal,1822.4,0.1231,19.367,12.3,below
32,GIN,Guinea,1859.2,0.1256,15.442,10.6,below
33,CMR,Cameroon,1895.7,0.1281,30.641,23.8,below
34,COM,Comoros,2000.7,0.1352,0.899,10.0,below
35,SLB,Solomon Islands,2045.1,0.1382,0.858,10.0,below
36,HTI,Haiti,2048.2,0.1384,12.038,10.0,below
37,TJK,Tajikistan,2162.6,0.1461,10.979,10.0,below
38,LAO,Lao PDR,2189.3,0.1479,7.974,10.0,below
39,MRT,Mauritania,2288.7,0.1546,5.461,10.0,below
40,COG,"Congo, Rep.",2311.2,0.1561,6.638,10.0,below
41,KEN,Kenya,2322.2,0.1569,58.636,75.3,below
42,GHA,Ghana,2705.5,0.1828,35.698,31.3,below
43,ZWE,Zimbabwe,2858.7,0.1931,17.274,11.2,below
