year,status,income_group,code,economies,share_percent,population_millions
1990,actual,Low income,L,51,57.86,3060.6
1990,actual,Lower-middle income,LM,56,12.69,671.4
1990,actual,Upper-middle income,UM,33,13.98,739.2
1990,actual,High income,H,40,15.47,818.3
1990,actual,All classified,TOT,180,100.0,5289.5
2000,actual,Low income,L,63,41.13,2531.6
2000,actual,Lower-middle income,LM,54,33.59,2067.2
2000,actual,Upper-middle income,UM,38,10.58,651.5
2000,actual,High income,H,53,14.7,904.7
2000,actual,All classified,TOT,208,100.0,6155.0
2010,actual,Low income,L,35,11.61,811.8
2010,actual,Lower-middle income,LM,56,37.13,2595.9
2010,actual,Upper-middle income,UM,54,35.17,2459.2
2010,actual,High income,H,71,16.08,1124.5
2010,actual,All classified,TOT,216,100.0,6991.4
2020,actual,Low income,L,27,8.84,692.1
2020,actual,Lower-middle income,LM,55,43.42,3397.7
2020,actual,Upper-middle income,UM,55,32.25,2523.5
2020,actual,High income,H,80,15.49,1212.3
2020,actual,All classified,TOT,217,100.0,7825.5
2030,projected,Low income,L,20,7.16,612.4
2030,projected,Lower-middle income,LM,47,39.49,3377.4
2030,projected,Upper-middle income,UM,51,16.81,1437.6
2030,projected,High income,H,100,36.54,3125.4
2030,projected,All classified,TOT,218,100.0,8552.8
2040,projected,Low income,L,18,7.95,728.4
2040,projected,Lower-middle income,LM,40,20.23,1853.5
2040,projected,Upper-middle income,UM,46,36.74,3366.0
2040,projected,High income,H,114,35.07,3213.2
2040,projected,All classified,TOT,218,100.0,9161.1
2050,projected,Low income,L,16,6.75,651.0
2050,projected,Lower-middle income,LM,37,22.7,2189.8
2050,projected,Upper-middle income,UM,41,33.3,3213.1
2050,projected,High income,H,124,37.26,3594.9
2050,projected,All classified,TOT,218,100.0,9648.8
