economy,gni_per_capita_usd_atlas_2025,population_millions_2025,income_group_fy27
Bermuda,139370,0.065,High income
Liechtenstein,116380,0.041,High income
Switzerland,110330,9.092,High income
Norway,97310,5.611,High income
Luxembourg,95720,0.687,High income
Iceland,89220,0.392,High income
United States,88810,341.785,High income
Ireland,87360,5.484,High income
Isle of Man,87030,0.084,High income
Cayman Islands,81920,0.076,High income
Singapore,81760,6.111,High income
Denmark,77190,6.009,High income
Qatar,74330,2.972,High income
Faeroe Islands,73120,0.055,High income
"Macao SAR, China",69920,0.686,High income
Netherlands,68530,18.088,High income
Australia,64120,27.614,High income
Sweden,63010,10.597,High income
"Hong Kong SAR, China",62500,7.499,High income
Austria,60360,9.208,High income
Germany,60200,83.491,High income
Belgium,59500,11.942,High income
Canada,56420,41.652,High income
Israel,56180,10.123,High income
Finland,55250,5.646,High income
United Kingdom,54550,69.487,High income
San Marino,53910,0.034,High income
Andorra,53230,0.083,High income
United Arab Emirates,51550,11.513,High income
France,48630,68.72,High income
New Zealand,46630,5.325,High income
Italy,42080,58.916,High income
Malta,41440,0.58,High income
Kuwait,41110,4.865,High income
Sint Maarten (Dutch part),38950,0.044,High income
Japan,38340,123.367,High income
"Korea, Rep.",37880,51.685,High income
Spain,37120,49.355,High income
"Bahamas, The",37020,0.403,High income
Turks and Caicos Islands,36760,0.047,High income
Cyprus,36110,1.371,High income
Saudi Arabia,36070,36.974,High income
Slovenia,35520,2.131,High income
Aruba,35200,0.109,High income
Greenland,34800,0.057,High income
Brunei Darussalam,34790,0.466,High income
Czechia,32960,10.887,High income
Estonia,32310,1.366,High income
Lithuania,30500,2.889,High income
New Caledonia,30070,0.295,High income
Portugal,29930,10.805,High income
Bahrain,28790,1.6,High income
Guyana,28470,0.836,High income
Puerto Rico (U.S.),27320,3.185,High income
Barbados,27080,0.283,High income
Slovak Republic,26410,5.414,High income
Poland,25520,36.436,High income
Greece,25360,10.414,High income
Croatia,25360,3.876,High income
Latvia,24980,1.848,High income
St. Kitts and Nevis,24530,0.047,High income
French Polynesia,24100,0.282,High income
Uruguay,24020,3.385,High income
Hungary,23850,9.514,High income
Antigua and Barbuda,23790,0.094,High income
Curaçao,22570,0.156,High income
Nauru,20690,0.012,High income
Romania,20190,19.02,High income
Palau,19890,0.018,High income
Oman,19520,5.495,High income
Seychelles,19200,0.123,High income
Panama,19140,4.571,High income
Trinidad and Tobago,18550,1.368,High income
Costa Rica,17930,5.153,High income
Bulgaria,17780,6.433,High income
Chile,16960,19.86,High income
Türkiye,16300,85.879,Upper middle income
Russian Federation,15960,143.513,High income
Argentina,14650,45.851,Upper middle income
China,14230,1406.585,Upper middle income
Montenegro,14150,0.623,Upper middle income
Mauritius,14040,1.244,Upper middle income
Kazakhstan,13740,20.844,Upper middle income
Mexico,13730,131.947,Upper middle income
Serbia,13480,6.549,Upper middle income
St. Lucia,13410,0.18,Upper middle income
Maldives,12950,0.53,Upper middle income
Malaysia,12380,35.978,Upper middle income
Albania,12060,2.35,Upper middle income
St. Vincent and the Grenadines,12000,0.1,Upper middle income
Grenada,11660,0.117,Upper middle income
Dominica,10690,0.066,Upper middle income
Dominican Republic,10620,11.52,Upper middle income
Brazil,10550,212.812,Upper middle income
Bosnia and Herzegovina,9940,3.14,Upper middle income
Tuvalu,9780,0.009,Upper middle income
Marshall Islands,9710,0.036,Upper middle income
North Macedonia,9490,1.821,Upper middle income
Belarus,9160,9.086,Upper middle income
Armenia,9020,3.087,Upper middle income
Cuba,9010,10.937,Upper middle income
Georgia,8990,3.936,Upper middle income
Peru,8430,34.577,Upper middle income
Gabon,8090,2.593,Upper middle income
Moldova,8050,2.361,Upper middle income
Colombia,7900,53.426,Upper middle income
Jamaica,7790,2.837,Upper middle income
Kosovo,7760,1.577,Upper middle income
Thailand,7690,71.62,Upper middle income
Belize,7530,0.423,Upper middle income
Botswana,7390,2.562,Upper middle income
Azerbaijan,7360,10.247,Upper middle income
Libya,7250,7.459,Upper middle income
Ecuador,6890,18.29,Upper middle income
Tonga,6840,0.104,Upper middle income
Paraguay,6750,7.013,Upper middle income
Guatemala,6360,18.688,Upper middle income
Turkmenistan,6340,7.619,Upper middle income
South Africa,6270,64.747,Upper middle income
Fiji,6230,0.933,Upper middle income
Mongolia,6210,3.569,Upper middle income
Suriname,6140,0.64,Upper middle income
Equatorial Guinea,5890,1.938,Upper middle income
Algeria,5850,47.435,Upper middle income
Iraq,5690,47.021,Upper middle income
Samoa,5640,0.219,Upper middle income
Cabo Verde,5590,0.527,Upper middle income
Ukraine,5510,38.98,Upper middle income
El Salvador,5410,6.366,Upper middle income
Jordan,5260,11.521,Upper middle income
Indonesia,5120,285.721,Upper middle income
Viet Nam,4970,101.599,Upper middle income
Philippines,4850,116.787,Upper middle income
"Micronesia, Fed. Sts.",4760,0.114,Upper middle income
Sri Lanka,4670,21.756,Upper middle income
"Iran, Islamic Rep.",4650,92.418,Upper middle income
Bolivia,4420,12.582,Lower middle income
Vanuatu,4410,0.335,Lower middle income
Morocco,4360,38.431,Lower middle income
Namibia,4340,3.093,Lower middle income
Bhutan,4310,0.797,Lower middle income
Tunisia,4300,12.349,Lower middle income
Djibouti,3960,1.184,Lower middle income
Kiribati,3930,0.136,Lower middle income
"Venezuela, RB",3860,28.517,Lower middle income
São Tomé and Príncipe,3800,0.24,Lower middle income
Eswatini,3730,1.256,Lower middle income
Uzbekistan,3670,37.053,Lower middle income
Lebanon,3560,5.849,Lower middle income
Honduras,3270,11.006,Lower middle income
"Egypt, Arab Rep.",3260,118.366,Lower middle income
West Bank and Gaza,3250,5.414,Lower middle income
Papua New Guinea,2890,10.763,Lower middle income
Angola,2860,39.04,Lower middle income
Nicaragua,2850,7.008,Lower middle income
Bangladesh,2840,175.687,Lower middle income
Kyrgyz Republic,2800,7.343,Lower middle income
Côte d'Ivoire,2780,32.712,Lower middle income
India,2760,1463.866,Lower middle income
Cambodia,2750,17.848,Lower middle income
Zimbabwe,2660,16.951,Lower middle income
Ghana,2630,35.064,Lower middle income
"Congo, Rep.",2280,6.484,Lower middle income
Mauritania,2210,5.315,Lower middle income
Kenya,2200,57.532,Lower middle income
Lao PDR,2150,7.873,Lower middle income
Tajikistan,2080,10.787,Lower middle income
Solomon Islands,2020,0.839,Lower middle income
Haiti,2010,11.906,Lower middle income
Comoros,1950,0.883,Lower middle income
Cameroon,1860,29.879,Lower middle income
Senegal,1780,18.932,Lower middle income
Guinea,1730,15.1,Lower middle income
Benin,1600,14.814,Lower middle income
Nepal,1570,29.618,Lower middle income
Timor-Leste,1510,1.419,Lower middle income
Pakistan,1500,255.22,Lower middle income
Nigeria,1360,237.528,Lower middle income
Togo,1350,8.592,Lower middle income
Myanmar,1320,54.851,Lower middle income
Lesotho,1280,2.363,Lower middle income
Tanzania,1270,70.546,Lower middle income
Zambia,1200,21.914,Lower middle income
Rwanda,1150,14.569,Low income
Uganda,1120,51.385,Low income
Mali,1120,25.199,Low income
Ethiopia,1110,135.472,Low income
Guinea-Bissau,1090,2.25,Low income
South Sudan,1050,12.189,Low income
Burkina Faso,980,24.075,Low income
Chad,970,21.004,Low income
"Gambia, The",930,2.822,Low income
