rank,economy,iso3,status,run_start,run_end,duration_years,tag,year,years_since_entry,gni_per_capita_atlas_usd,hic_threshold_usd,income_pct_of_line,income_pct_censored_100
1,Russia,RUS,completed,2004,2012,8,fastest,2004,0,3410.0,10065.0,33.88,33.88
1,Russia,RUS,completed,2004,2012,8,fastest,2005,1,4450.0,10725.0,41.49,41.49
1,Russia,RUS,completed,2004,2012,8,fastest,2006,2,5810.0,11115.0,52.27,52.27
1,Russia,RUS,completed,2004,2012,8,fastest,2007,3,7560.0,11455.0,66.0,66.0
1,Russia,RUS,completed,2004,2012,8,fastest,2008,4,9580.0,11905.0,80.47,80.47
1,Russia,RUS,completed,2004,2012,8,fastest,2009,5,9230.0,12195.0,75.69,75.69
1,Russia,RUS,completed,2004,2012,8,fastest,2010,6,9980.0,12275.0,81.3,81.3
1,Russia,RUS,completed,2004,2012,8,fastest,2011,7,11060.0,12475.0,88.66,88.66
1,Russia,RUS,completed,2004,2012,8,fastest,2012,8,13470.0,12615.0,106.78,100.0
2,Czechia,CZE,completed,1994,2006,12,,1994,0,4200.0,8955.0,46.9,46.9
2,Czechia,CZE,completed,1994,2006,12,,1995,1,5170.0,9385.0,55.09,55.09
2,Czechia,CZE,completed,1994,2006,12,,1996,2,6010.0,9645.0,62.31,62.31
2,Czechia,CZE,completed,1994,2006,12,,1997,3,6200.0,9655.0,64.22,64.22
2,Czechia,CZE,completed,1994,2006,12,,1998,4,6140.0,9360.0,65.6,65.6
2,Czechia,CZE,completed,1994,2006,12,,1999,5,6150.0,9265.0,66.38,66.38
2,Czechia,CZE,completed,1994,2006,12,,2000,6,6380.0,9265.0,68.86,68.86
2,Czechia,CZE,completed,1994,2006,12,,2001,7,6380.0,9205.0,69.31,69.31
2,Czechia,CZE,completed,1994,2006,12,,2002,8,6680.0,9075.0,73.61,73.61
2,Czechia,CZE,completed,1994,2006,12,,2003,9,8130.0,9385.0,86.63,86.63
2,Czechia,CZE,completed,1994,2006,12,,2004,10,10280.0,10065.0,102.14,100.0
2,Czechia,CZE,completed,1994,2006,12,,2005,11,12480.0,10725.0,116.36,100.0
2,Czechia,CZE,completed,1994,2006,12,,2006,12,13990.0,11115.0,125.87,100.0
3,Poland,POL,completed,1996,2009,13,,1996,0,3880.0,9645.0,40.23,40.23
3,Poland,POL,completed,1996,2009,13,,1997,1,4270.0,9655.0,44.23,44.23
3,Poland,POL,completed,1996,2009,13,,1998,2,4390.0,9360.0,46.9,46.9
3,Poland,POL,completed,1996,2009,13,,1999,3,4460.0,9265.0,48.14,48.14
3,Poland,POL,completed,1996,2009,13,,2000,4,4690.0,9265.0,50.62,50.62
3,Poland,POL,completed,1996,2009,13,,2001,5,4720.0,9205.0,51.28,51.28
3,Poland,POL,completed,1996,2009,13,,2002,6,4890.0,9075.0,53.88,53.88
3,Poland,POL,completed,1996,2009,13,,2003,7,5510.0,9385.0,58.71,58.71
3,Poland,POL,completed,1996,2009,13,,2004,8,6290.0,10065.0,62.49,62.49
3,Poland,POL,completed,1996,2009,13,,2005,9,7340.0,10725.0,68.44,68.44
3,Poland,POL,completed,1996,2009,13,,2006,10,8450.0,11115.0,76.02,76.02
3,Poland,POL,completed,1996,2009,13,,2007,11,9940.0,11455.0,86.77,86.77
3,Poland,POL,completed,1996,2009,13,,2008,12,11980.0,11905.0,100.63,100.0
3,Poland,POL,completed,1996,2009,13,,2009,13,12520.0,12195.0,102.67,100.0
4,Romania,ROU,completed,2005,2021,16,median,2005,0,3880.0,10725.0,36.18,36.18
4,Romania,ROU,completed,2005,2021,16,median,2006,1,4900.0,11115.0,44.08,44.08
4,Romania,ROU,completed,2005,2021,16,median,2007,2,6510.0,11455.0,56.83,56.83
4,Romania,ROU,completed,2005,2021,16,median,2008,3,8800.0,11905.0,73.92,73.92
4,Romania,ROU,completed,2005,2021,16,median,2009,4,9220.0,12195.0,75.6,75.6
4,Romania,ROU,completed,2005,2021,16,median,2010,5,8770.0,12275.0,71.45,71.45
4,Romania,ROU,completed,2005,2021,16,median,2011,6,9080.0,12475.0,72.79,72.79
4,Romania,ROU,completed,2005,2021,16,median,2012,7,9260.0,12615.0,73.4,73.4
4,Romania,ROU,completed,2005,2021,16,median,2013,8,9390.0,12745.0,73.68,73.68
4,Romania,ROU,completed,2005,2021,16,median,2014,9,9760.0,12735.0,76.64,76.64
4,Romania,ROU,completed,2005,2021,16,median,2015,10,9610.0,12475.0,77.03,77.03
4,Romania,ROU,completed,2005,2021,16,median,2016,11,9460.0,12235.0,77.32,77.32
4,Romania,ROU,completed,2005,2021,16,median,2017,12,10030.0,12055.0,83.2,83.2
4,Romania,ROU,completed,2005,2021,16,median,2018,13,11490.0,12375.0,92.85,92.85
4,Romania,ROU,completed,2005,2021,16,median,2019,14,12660.0,12535.0,101.0,100.0
4,Romania,ROU,completed,2005,2021,16,median,2020,15,12720.0,12695.0,100.2,100.0
4,Romania,ROU,completed,2005,2021,16,median,2021,16,14180.0,13205.0,107.38,100.0
5,Venezuela,VEN,completed,1997,2014,17,,1997,0,3420.0,9655.0,35.42,35.42
5,Venezuela,VEN,completed,1997,2014,17,,1998,1,3380.0,9360.0,36.11,36.11
5,Venezuela,VEN,completed,1997,2014,17,,1999,2,3530.0,9265.0,38.1,38.1
5,Venezuela,VEN,completed,1997,2014,17,,2000,3,4060.0,9265.0,43.82,43.82
5,Venezuela,VEN,completed,1997,2014,17,,2001,4,4540.0,9205.0,49.32,49.32
5,Venezuela,VEN,completed,1997,2014,17,,2002,5,3940.0,9075.0,43.42,43.42
