rank,economy,iso3,status,run_start,run_end,duration_years,tag,year,years_since_entry,gni_per_capita_atlas_usd,umic_entry_threshold_usd,income_pct_of_line,income_pct_censored_100,latest_income_pct_of_line,distance_to_median_years
1,Cambodia,KHM,ongoing,2015,2025,10,,2015,0,1430.0,4036.0,35.43,35.43,59.32,4.54
1,Cambodia,KHM,ongoing,2015,2025,10,,2016,1,1550.0,3956.0,39.18,39.18,59.32,4.54
1,Cambodia,KHM,ongoing,2015,2025,10,,2017,2,1690.0,3896.0,43.38,43.38,59.32,4.54
1,Cambodia,KHM,ongoing,2015,2025,10,,2018,3,1920.0,3996.0,48.05,48.05,59.32,4.54
1,Cambodia,KHM,ongoing,2015,2025,10,,2019,4,2100.0,4046.0,51.9,51.9,59.32,4.54
1,Cambodia,KHM,ongoing,2015,2025,10,,2020,5,2050.0,4096.0,50.05,50.05,59.32,4.54
1,Cambodia,KHM,ongoing,2015,2025,10,,2021,6,2120.0,4256.0,49.81,49.81,59.32,4.54
1,Cambodia,KHM,ongoing,2015,2025,10,,2022,7,2270.0,4466.0,50.83,50.83,59.32,4.54
1,Cambodia,KHM,ongoing,2015,2025,10,,2023,8,2390.0,4516.0,52.92,52.92,59.32,4.54
1,Cambodia,KHM,ongoing,2015,2025,10,,2024,9,2550.0,4496.0,56.72,56.72,59.32,4.54
1,Cambodia,KHM,ongoing,2015,2025,10,,2025,10,2750.0,4636.0,59.32,59.32,59.32,4.54
2,Bangladesh,BGD,ongoing,2014,2025,11,,2014,0,1080.0,4126.0,26.18,26.18,61.26,4.92
2,Bangladesh,BGD,ongoing,2014,2025,11,,2015,1,1200.0,4036.0,29.73,29.73,61.26,4.92
2,Bangladesh,BGD,ongoing,2014,2025,11,,2016,2,1400.0,3956.0,35.39,35.39,61.26,4.92
2,Bangladesh,BGD,ongoing,2014,2025,11,,2017,3,1640.0,3896.0,42.09,42.09,61.26,4.92
2,Bangladesh,BGD,ongoing,2014,2025,11,,2018,4,2020.0,3996.0,50.55,50.55,61.26,4.92
2,Bangladesh,BGD,ongoing,2014,2025,11,,2019,5,2220.0,4046.0,54.87,54.87,61.26,4.92
2,Bangladesh,BGD,ongoing,2014,2025,11,,2020,6,2320.0,4096.0,56.64,56.64,61.26,4.92
2,Bangladesh,BGD,ongoing,2014,2025,11,,2021,7,2600.0,4256.0,61.09,61.09,61.26,4.92
2,Bangladesh,BGD,ongoing,2014,2025,11,,2022,8,2850.0,4466.0,63.82,63.82,61.26,4.92
2,Bangladesh,BGD,ongoing,2014,2025,11,,2023,9,2880.0,4516.0,63.77,63.77,61.26,4.92
2,Bangladesh,BGD,ongoing,2014,2025,11,,2024,10,2820.0,4496.0,62.72,62.72,61.26,4.92
2,Bangladesh,BGD,ongoing,2014,2025,11,,2025,11,2840.0,4636.0,61.26,61.26,61.26,4.92
3,Uzbekistan,UZB,ongoing,2009,2025,16,,2009,0,1150.0,3946.0,29.14,29.14,79.16,6.37
3,Uzbekistan,UZB,ongoing,2009,2025,16,,2010,1,1460.0,3976.0,36.72,36.72,79.16,6.37
3,Uzbekistan,UZB,ongoing,2009,2025,16,,2011,2,1880.0,4036.0,46.58,46.58,79.16,6.37
3,Uzbekistan,UZB,ongoing,2009,2025,16,,2012,3,2460.0,4086.0,60.21,60.21,79.16,6.37
3,Uzbekistan,UZB,ongoing,2009,2025,16,,2013,4,2780.0,4126.0,67.38,67.38,79.16,6.37
3,Uzbekistan,UZB,ongoing,2009,2025,16,,2014,5,3000.0,4126.0,72.71,72.71,79.16,6.37
3,Uzbekistan,UZB,ongoing,2009,2025,16,,2015,6,3170.0,4036.0,78.54,78.54,79.16,6.37
3,Uzbekistan,UZB,ongoing,2009,2025,16,,2016,7,3230.0,3956.0,81.65,81.65,79.16,6.37
3,Uzbekistan,UZB,ongoing,2009,2025,16,,2017,8,2890.0,3896.0,74.18,74.18,79.16,6.37
3,Uzbekistan,UZB,ongoing,2009,2025,16,,2018,9,2490.0,3996.0,62.31,62.31,79.16,6.37
3,Uzbekistan,UZB,ongoing,2009,2025,16,,2019,10,2240.0,4046.0,55.36,55.36,79.16,6.37
3,Uzbekistan,UZB,ongoing,2009,2025,16,,2020,11,2090.0,4096.0,51.03,51.03,79.16,6.37
3,Uzbekistan,UZB,ongoing,2009,2025,16,,2021,12,2360.0,4256.0,55.45,55.45,79.16,6.37
3,Uzbekistan,UZB,ongoing,2009,2025,16,,2022,13,2620.0,4466.0,58.67,58.67,79.16,6.37
3,Uzbekistan,UZB,ongoing,2009,2025,16,,2023,14,2880.0,4516.0,63.77,63.77,79.16,6.37
3,Uzbekistan,UZB,ongoing,2009,2025,16,,2024,15,3170.0,4496.0,70.51,70.51,79.16,6.37
3,Uzbekistan,UZB,ongoing,2009,2025,16,,2025,16,3670.0,4636.0,79.16,79.16,79.16,6.37
4,Kenya,KEN,ongoing,2014,2025,11,,2014,0,1250.0,4126.0,30.3,30.3,47.45,8.12
4,Kenya,KEN,ongoing,2014,2025,11,,2015,1,1320.0,4036.0,32.71,32.71,47.45,8.12
4,Kenya,KEN,ongoing,2014,2025,11,,2016,2,1490.0,3956.0,37.66,37.66,47.45,8.12
4,Kenya,KEN,ongoing,2014,2025,11,,2017,3,1540.0,3896.0,39.53,39.53,47.45,8.12
4,Kenya,KEN,ongoing,2014,2025,11,,2018,4,1720.0,3996.0,43.04,43.04,47.45,8.12
4,Kenya,KEN,ongoing,2014,2025,11,,2019,5,1880.0,4046.0,46.47,46.47,47.45,8.12
4,Kenya,KEN,ongoing,2014,2025,11,,2020,6,1910.0,4096.0,46.63,46.63,47.45,8.12
4,Kenya,KEN,ongoing,2014,2025,11,,2021,7,2070.0,4256.0,48.64,48.64,47.45,8.12
4,Kenya,KEN,ongoing,2014,2025,11,,2022,8,2170.0,4466.0,48.59,48.59,47.45,8.12
4,Kenya,KEN,ongoing,2014,2025,11,,2023,9,2110.0,4516.0,46.72,46.72,47.45,8.12
4,Kenya,KEN,ongoing,2014,2025,11,,2024,10,2070.0,4496.0,46.04,46.04,47.45,8.12
4,Kenya,KEN,ongoing,2014,2025,11,,2025,11,2200.0,4636.0,47.45,47.45,47.45,8.12
5,Tajikistan,TJK,ongoing,2014,2025,11,,2014,0,1320.0,4126.0,31.99,31.99,44.87,8.45
5,Tajikistan,TJK,ongoing,2014,2025,11,,2015,1,1230.0,4036.0,30.48,30.48,44.87,8.45
5,Tajikistan,TJK,ongoing,2014,2025,11,,2016,2,1090.0,3956.0,27.55,27.55,44.87,8.45
5,Tajikistan,TJK,ongoing,2014,2025,11,,2017,3,1000.0,3896.0,25.67,25.67,44.87,8.45
