year,status,income_group,code,economies,population_billions,population_millions,share_percent
1990,actual,Low income,L,51,3.061,3060.6,57.86
1990,actual,Lower-middle income,LM,56,0.671,671.4,12.69
1990,actual,Upper-middle income,UM,33,0.739,739.2,13.98
1990,actual,High income,H,40,0.818,818.3,15.47
1990,actual,All classified,TOT,180,5.29,5289.5,100.0
2000,actual,Low income,L,63,2.532,2531.6,41.13
2000,actual,Lower-middle income,LM,54,2.067,2067.2,33.59
2000,actual,Upper-middle income,UM,38,0.651,651.5,10.58
2000,actual,High income,H,53,0.905,904.7,14.7
2000,actual,All classified,TOT,208,6.155,6155.0,100.0
2010,actual,Low income,L,35,0.812,811.8,11.61
2010,actual,Lower-middle income,LM,56,2.596,2595.9,37.13
2010,actual,Upper-middle income,UM,54,2.459,2459.2,35.17
2010,actual,High income,H,71,1.124,1124.5,16.08
2010,actual,All classified,TOT,216,6.991,6991.4,100.0
2020,actual,Low income,L,27,0.692,692.1,8.84
2020,actual,Lower-middle income,LM,55,3.398,3397.7,43.42
2020,actual,Upper-middle income,UM,55,2.523,2523.5,32.25
2020,actual,High income,H,80,1.212,1212.3,15.49
2020,actual,All classified,TOT,217,7.825,7825.5,100.0
2030,projected,Low income,L,20,0.612,612.4,7.16
2030,projected,Lower-middle income,LM,47,3.377,3377.4,39.49
2030,projected,Upper-middle income,UM,51,1.438,1437.6,16.81
2030,projected,High income,H,100,3.125,3125.4,36.54
2030,projected,All classified,TOT,218,8.553,8552.8,100.0
2040,projected,Low income,L,18,0.728,728.4,7.95
2040,projected,Lower-middle income,LM,40,1.854,1853.5,20.23
2040,projected,Upper-middle income,UM,46,3.366,3366.0,36.74
2040,projected,High income,H,114,3.213,3213.2,35.07
2040,projected,All classified,TOT,218,9.161,9161.1,100.0
2050,projected,Low income,L,16,0.651,651.0,6.75
2050,projected,Lower-middle income,LM,37,2.19,2189.8,22.7
2050,projected,Upper-middle income,UM,41,3.213,3213.1,33.3
2050,projected,High income,H,124,3.595,3594.9,37.26
2050,projected,All classified,TOT,218,9.649,9648.8,100.0
