year,status,china_gni_pc,china_class,china_population_millions,india_gni_pc,india_class,india_population_millions,threshold_lic_lmic,threshold_lmic_umic,threshold_umic_hic
1990,actual,330,L,1135.18,390,L,864.97,610,2465,7620
1991,actual,360,L,1150.78,350,L,883.93,635,2555,7910
1992,actual,400,L,1164.97,350,L,902.96,675,2695,8355
1993,actual,420,L,1178.44,330,L,922.12,695,2785,8625
1994,actual,470,L,1191.84,340,L,941.16,725,2895,8955
1995,actual,540,L,1204.86,370,L,960.3,765,3035,9385
1996,actual,660,L,1217.55,400,L,979.68,785,3115,9645
1997,actual,760,LM,1230.08,410,L,999.13,785,3125,9655
1998,actual,800,L,1241.94,410,L,1018.67,760,3030,9360
1999,actual,860,LM,1252.73,440,L,1038.23,755,2995,9265
2000,actual,950,LM,1262.64,440,L,1057.92,755,2995,9265
2001,actual,1020,LM,1271.85,450,L,1077.9,745,2975,9205
2002,actual,1130,LM,1280.4,460,L,1097.6,735,2935,9075
2003,actual,1300,LM,1288.4,510,L,1116.8,765,3035,9385
2004,actual,1530,LM,1296.08,610,L,1135.99,825,3255,10065
2005,actual,1790,LM,1303.72,700,L,1154.68,875,3465,10725
2006,actual,2090,LM,1311.02,780,L,1172.88,905,3595,11115
2007,actual,2550,LM,1317.88,910,LM,1190.68,935,3705,11455
2008,actual,3140,LM,1324.66,990,LM,1207.93,975,3855,11905
2009,actual,3740,LM,1331.26,1110,LM,1225.52,995,3945,12195
2010,actual,4410,UM,1337.7,1210,LM,1243.48,1005,3975,12275
2011,actual,5130,UM,1345.04,1350,LM,1261.22,1025,4035,12475
2012,actual,6010,UM,1354.19,1460,LM,1278.67,1035,4085,12615
2013,actual,6860,UM,1363.24,1500,LM,1295.83,1045,4125,12745
2014,actual,7600,UM,1371.86,1540,LM,1312.28,1045,4125,12735
2015,actual,8040,UM,1379.86,1580,LM,1328.02,1025,4035,12475
2016,actual,8360,UM,1387.79,1670,LM,1343.94,1005,3955,12235
2017,actual,8830,UM,1396.22,1790,LM,1359.66,995,3895,12055
2018,actual,9720,UM,1402.76,1970,LM,1374.66,1025,3995,12375
2019,actual,10510,UM,1407.74,2070,LM,1389.03,1035,4045,12535
2020,actual,10740,UM,1411.1,1900,LM,1402.62,1045,4095,12695
2021,actual,12220,UM,1412.36,2170,LM,1414.2,1085,4255,13205
2022,actual,13170,UM,1412.18,2360,LM,1425.42,1135,4465,13845
2023,actual,13750,UM,1410.71,2490,LM,1438.07,1145,4515,14005
2024,actual,13660,UM,1408.98,2550,LM,1450.94,1135,4495,13935
2025,actual,14230,UM,1406.58,2760,LM,1463.87,1175,4635,14375
2026,projected,14943,H,1403.42,2938,LM,1476.63,1190,4693,14554
2027,projected,15692,H,1400.21,3127,LM,1489.16,1204,4751,14735
2028,projected,16479,H,1396.69,3328,LM,1501.43,1219,4810,14918
2029,projected,17305,H,1392.86,3543,LM,1513.42,1235,4870,15104
2030,projected,18173,H,1388.76,3771,LM,1525.14,1250,4931,15292
2031,projected,19084,H,1384.39,4014,LM,1536.54,1265,4992,15482
2032,projected,20040,H,1379.73,4272,LM,1547.61,1281,5054,15674
2033,projected,21045,H,1374.8,4548,LM,1558.32,1297,5117,15869
2034,projected,22100,H,1369.62,4840,LM,1568.69,1313,5181,16067
2035,projected,23208,H,1364.2,5152,LM,1578.69,1330,5245,16267
2036,projected,24371,H,1358.56,5484,UM,1588.33,1346,5310,16469
2037,projected,25593,H,1352.68,5837,UM,1597.54,1363,5376,16674
2038,projected,26876,H,1346.62,6213,UM,1606.3,1380,5443,16881
2039,projected,28223,H,1340.33,6613,UM,1614.64,1397,5511,17091
2040,projected,29638,H,1333.8,7039,UM,1622.58,1414,5579,17304
2041,projected,31124,H,1327.02,7493,UM,1630.12,1432,5649,17519
2042,projected,32684,H,1319.98,7975,UM,1637.24,1450,5719,17737
2043,projected,34322,H,1312.71,8489,UM,1643.92,1468,5790,17958
2044,projected,36043,H,1305.19,9036,UM,1650.19,1486,5862,18181
2045,projected,37850,H,1297.34,9618,UM,1656.07,1505,5935,18407
2046,projected,39747,H,1289.1,10237,UM,1661.55,1523,6009,18636
2047,projected,41740,H,1280.46,10897,UM,1666.63,1542,6084,18868
2048,projected,43832,H,1271.4,11599,UM,1671.31,1561,6159,19103
2049,projected,46030,H,1261.85,12346,UM,1675.62,1581,6236,19341
2050,projected,48337,H,1251.82,13141,UM,1679.59,1601,6314,19581
