record_type,series,decade,first_rate_year,last_rate_year,economy,code,class_2025,class_at_decade_start,middle_income_at_decade_start,annual_rates_used,decade_median_growth_pct,population_mn,population_year,in_balanced_sample,n_economies,weighted_median_economy,plotted
chart_series,Unweighted median,1988-95,1988,1995,,,,,,,4.038,3497.872,1990,True,82,,True
chart_series,Population-weighted median,1988-95,1988,1995,,,,,,,7.045,3497.872,1990,True,82,China,True
chart_series,Unweighted median,1996-2005,1996,2005,,,,,,,4.388,4442.723,2005,True,82,,True
chart_series,Population-weighted median,1996-2005,1996,2005,,,,,,,5.436,4442.723,2005,True,82,Algeria,True
chart_series,Unweighted median,2006-15,2006,2015,,,,,,,5.945,5022.548,2015,True,82,,True
chart_series,Population-weighted median,2006-15,2006,2015,,,,,,,9.285,5022.548,2015,True,82,Bangladesh,True
chart_series,Unweighted median,2016-25,2016,2025,,,,,,,3.602,5493.96,2025,True,82,,True
chart_series,Population-weighted median,2016-25,2016,2025,,,,,,,5.013,5493.96,2025,True,82,China,True
economy,,1988-95,1988,1995,Albania,ALB,UM,,False,8,2.0548,3.287,1990,True,,,True
economy,,1996-2005,1996,2005,Albania,ALB,UM,L,False,10,17.2612,3.011,2005,True,,,True
economy,,2006-15,2006,2015,Albania,ALB,UM,LM,True,10,3.4041,2.731,2015,True,,,True
economy,,2016-25,2016,2025,Albania,ALB,UM,UM,True,10,12.2258,2.35,2025,True,,,True
economy,,1988-95,1988,1995,Algeria,DZA,UM,UM,True,8,-6.5601,25.376,1990,True,,,True
economy,,1996-2005,1996,2005,Algeria,DZA,UM,LM,True,10,5.4364,33.109,2005,True,,,True
economy,,2006-15,2006,2015,Algeria,DZA,UM,LM,True,10,6.3018,40.02,2015,True,,,True
economy,,2016-25,2016,2025,Algeria,DZA,UM,UM,True,10,1.5809,47.435,2025,True,,,True
economy,,1988-95,1988,1995,Angola,AGO,LM,,False,8,-6.0683,11.626,1990,True,,,True
economy,,1996-2005,1996,2005,Angola,AGO,LM,L,False,10,16.3664,19.291,2005,True,,,True
economy,,2006-15,2006,2015,Angola,AGO,LM,LM,True,10,9.4386,28.158,2015,True,,,True
economy,,2016-25,2016,2025,Angola,AGO,LM,UM,True,10,-0.8246,39.04,2025,True,,,True
economy,,1988-95,1988,1995,Argentina,ARG,UM,UM,True,8,9.94,32.756,1990,True,,,True
economy,,1996-2005,1996,2005,Argentina,ARG,UM,UM,True,10,-3.5692,39.217,2005,True,,,True
economy,,2006-15,2006,2015,Argentina,ARG,UM,UM,True,10,13.377,43.477,2015,True,,,True
economy,,2016-25,2016,2025,Argentina,ARG,UM,UM,True,10,6.2354,45.851,2025,True,,,True
economy,,1988-95,1988,1995,Armenia,ARM,UM,,False,3,,3.552,1990,False,,,False
economy,,1996-2005,1996,2005,Armenia,ARM,UM,L,False,10,8.3478,3.146,2005,False,,,False
economy,,2006-15,2006,2015,Armenia,ARM,UM,LM,True,10,5.4725,3.005,2015,False,,,False
economy,,2016-25,2016,2025,Armenia,ARM,UM,LM,True,10,9.2319,3.087,2025,False,,,False
economy,,1988-95,1988,1995,Azerbaijan,AZE,UM,,False,3,,7.175,1990,False,,,False
