# chart,"Cumulative share of world GNI against cumulative share of world population, economies ranked by GNI per capita, 2026"
# source,"World Bank WDI, GNI per capita, Atlas method (NY.GNP.PCAP.CD) and population (SP.POP.TOTL); World Bank OGHIST (1 July 2026) for the operational thresholds; UN World Population Prospects 2024, medium variant; author's calculations and projections. Schellekens 2026, The Great Income Inversion, Moving Frontiers."
# note,"Economies are ranked from poorest to richest by GNI per capita. Each row adds that economy's population and its GNI to the running totals, so the two cumulative columns trace the curve."
# note,"World GNI per capita is $14801 in 2026. 63.9 percent of people live in an economy poorer than that, and those economies together hold 16.9 percent of world GNI."
# note,The poorest half of humanity holds 8.7 percent of world GNI; the richest tenth holds 49.5 percent.
# note,"Every person carries their own country's average, so these are measures of inequality between countries, not within them. A survey-based measure would be considerably wider."
# note,Values from 2026 reflect a nowcast based on a conservative constant-pace scenario that replicates country-level median per capita income growth over the last decade. See Schellekens 2026 for methodology.

rank_poorest_to_richest,iso3,economy,gni_per_capita_usd,ratio_to_world_average,population_millions,cumulative_population_share_percent,cumulative_gni_share_percent,at_or_below_world_average
1,BDI,Burundi,243.0,0.0164,14.729,0.181,0.003,yes
2,AFG,Afghanistan,394.9,0.0267,45.047,0.7346,0.0177,yes
3,MDG,Madagascar,577.3,0.039,33.522,1.1466,0.0338,yes
4,CAF,Central African Republic,578.6,0.0391,5.699,1.2166,0.0365,yes
5,MOZ,Mozambique,581.1,0.0393,36.64,1.6669,0.0542,yes
6,MWI,Malawi,611.2,0.0413,22.786,1.9469,0.0658,yes
7,SOM,"Somalia, Fed. Rep.",661.0,0.0447,20.306,2.1965,0.0769,yes
8,COD,"Congo, Dem. Rep.",752.0,0.0508,116.452,3.6276,0.1496,yes
9,NER,Niger,769.5,0.052,28.815,3.9818,0.1681,yes
10,SLE,Sierra Leone,840.3,0.0568,8.997,4.0923,0.1743,yes
11,LBR,Liberia,856.6,0.0579,5.854,4.1643,0.1785,yes
12,SDN,Sudan,911.2,0.0616,53.283,4.8191,0.2188,yes
13,GMB,"Gambia, The",979.5,0.0662,2.884,4.8545,0.2212,yes
14,TCD,Chad,982.1,0.0664,21.56,5.1195,0.2387,yes
15,BFA,Burkina Faso,1005.4,0.0679,24.602,5.4218,0.2593,yes
16,MLI,Mali,1149.2,0.0776,25.932,5.7405,0.284,yes
17,GNB,Guinea-Bissau,1150.6,0.0777,2.298,5.7688,0.2862,yes
18,UGA,Uganda,1167.2,0.0789,52.761,6.4172,0.3373,yes
19,ETH,Ethiopia,1172.1,0.0792,138.902,8.1242,0.4725,yes
20,RWA,Rwanda,1214.3,0.082,14.89,8.3072,0.4875,yes
21,ZMB,Zambia,1214.9,0.0821,22.522,8.584,0.5103,yes
22,LSO,Lesotho,1295.9,0.0876,2.389,8.6134,0.5128,yes
23,TZA,Tanzania,1301.2,0.0879,72.564,9.5051,0.5912,yes
24,MMR,Myanmar,1336.4,0.0903,55.185,10.1833,0.6525,yes
25,NGA,Nigeria,1376.9,0.093,242.432,13.1627,0.9296,yes
26,TGO,Togo,1407.9,0.0951,8.777,13.2706,0.9399,yes
27,TLS,Timor-Leste,1528.8,0.1033,1.437,13.2882,0.9417,yes
28,PAK,Pakistan,1564.1,0.1057,259.3,16.4749,1.2785,yes
29,NPL,Nepal,1657.3,0.112,29.629,16.839,1.3192,yes
30,BEN,Benin,1658.7,0.1121,15.17,17.0255,1.3401,yes
31,SEN,Senegal,1822.4,0.1231,19.367,17.2635,1.3694,yes
32,GIN,Guinea,1859.2,0.1256,15.442,17.4533,1.3933,yes
33,CMR,Cameroon,1895.7,0.1281,30.641,17.8298,1.4415,yes
34,COM,Comoros,2000.7,0.1352,0.899,17.8409,1.443,yes
35,SLB,Solomon Islands,2045.1,0.1382,0.858,17.8514,1.4444,yes
36,HTI,Haiti,2048.2,0.1384,12.038,17.9994,1.4649,yes
37,TJK,Tajikistan,2162.6,0.1461,10.979,18.1343,1.4846,yes
38,LAO,Lao PDR,2189.3,0.1479,7.974,18.2323,1.4991,yes
39,MRT,Mauritania,2288.7,0.1546,5.461,18.2994,1.5095,yes
40,COG,"Congo, Rep.",2311.2,0.1561,6.638,18.381,1.5222,yes
41,KEN,Kenya,2322.2,0.1569,58.636,19.1016,1.6353,yes
42,GHA,Ghana,2705.5,0.1828,35.698,19.5403,1.7155,yes
43,ZWE,Zimbabwe,2858.7,0.1931,17.274,19.7526,1.7565,yes
44,AGO,Angola,2895.6,0.1956,40.215,20.2468,1.8532,yes
45,CIV,Côte d'Ivoire,2895.9,0.1957,33.494,20.6584,1.9337,yes
46,PNG,Papua New Guinea,2926.0,0.1977,10.948,20.793,1.9603,yes
47,IND,India,2937.8,0.1985,1476.626,38.94,5.5622,yes
48,KHM,Cambodia,2955.1,0.1997,18.051,39.1619,5.6065,yes
49,NIC,Nicaragua,2964.5,0.2003,7.097,39.2491,5.6239,yes
50,KGZ,Kyrgyz Republic,3009.1,0.2033,7.449,39.3406,5.6425,yes
51,BGD,Bangladesh,3052.1,0.2062,177.818,41.5259,6.0932,yes
52,EGY,"Egypt, Arab Rep.",3300.6,0.223,120.101,43.0019,6.4223,yes
53,PSE,West Bank and Gaza,3364.3,0.2273,5.514,43.0697,6.4377,yes
54,HND,Honduras,3449.3,0.233,11.185,43.2071,6.4697,yes
55,LBN,Lebanon,3604.3,0.2435,5.897,43.2796,6.4874,yes
56,SWZ,Eswatini,3796.6,0.2565,1.27,43.2952,6.4914,yes
57,UZB,Uzbekistan,3886.8,0.2626,37.724,43.7588,6.6131,yes
