year,ratio_gdp_ppp,ratio_gdp_mer,ratio_gdp_pc_ppp,ratio_gdp_pc_mer,status
1980,0.0952,0.1062,0.0219,0.0245,estimate
1981,0.0975,0.0902,0.0224,0.0207,estimate
1982,0.1083,0.0853,0.0247,0.0195,estimate
1983,0.1147,0.0842,0.0261,0.0191,estimate
1984,0.1232,0.078,0.0279,0.0177,estimate
1985,0.1343,0.0716,0.0302,0.0161,estimate
1986,0.1413,0.0658,0.0316,0.0147,estimate
1987,0.1526,0.0676,0.0339,0.015,estimate
1988,0.1629,0.0782,0.0359,0.0172,estimate
1989,0.1637,0.0814,0.0359,0.0179,estimate
1990,0.1669,0.0666,0.0365,0.0146,estimate
1991,0.1842,0.0675,0.0403,0.0148,estimate
1992,0.2033,0.076,0.0445,0.0167,estimate
1993,0.2254,0.0907,0.0495,0.0199,estimate
1994,0.2451,0.0777,0.0538,0.0171,estimate
1995,0.265,0.0966,0.0583,0.0212,estimate
1996,0.2808,0.1076,0.0618,0.0237,estimate
1997,0.2939,0.1128,0.0649,0.0249,estimate
1998,0.3036,0.1143,0.0672,0.0253,estimate
1999,0.3122,0.1143,0.0693,0.0254,estimate
2000,0.3257,0.119,0.0725,0.0265,estimate
2001,0.3494,0.1277,0.0781,0.0285,estimate
2002,0.3752,0.136,0.0841,0.0305,estimate
2003,0.402,0.1467,0.0904,0.033,estimate
2004,0.4262,0.162,0.0962,0.0366,estimate
2005,0.459,0.1784,0.1039,0.0404,estimate
2006,0.5031,0.2026,0.1144,0.0461,estimate
2007,0.563,0.2497,0.1286,0.057,estimate
2008,0.6166,0.3152,0.1415,0.0723,estimate
2009,0.6927,0.3575,0.1595,0.0824,estimate
2010,0.7459,0.4079,0.1723,0.0942,estimate
2011,0.8038,0.489,0.1859,0.1131,estimate
2012,0.8475,0.5342,0.1959,0.1235,estimate
2013,0.8944,0.5798,0.2069,0.1341,estimate
2014,0.9378,0.6078,0.2171,0.1407,estimate
2015,0.9749,0.618,0.2262,0.1434,estimate
2016,1.0223,0.609,0.2373,0.1414,estimate
2017,1.0665,0.6382,0.2478,0.1483,estimate
2018,1.1039,0.683,0.2569,0.1589,estimate
2019,1.1513,0.6775,0.2682,0.1579,estimate
2020,1.2145,0.7069,0.285,0.1659,estimate
2021,1.24,0.7664,0.2918,0.1804,estimate
2022,1.2471,0.7038,0.2953,0.1666,estimate
2023,1.2767,0.6604,0.3052,0.1579,estimate
2024,1.3042,0.6466,0.3149,0.1561,estimate
2025,1.3405,0.6379,0.3262,0.1552,estimate
2026,1.3678,0.6439,0.3346,0.1575,projection
2027,1.3937,0.649,0.3426,0.1595,projection
2028,1.4197,0.6633,0.3508,0.1639,projection
2029,1.4445,0.6783,0.3589,0.1685,projection
2030,1.4672,0.6913,0.3667,0.1728,projection
2031,1.4893,0.7045,0.3745,0.1771,projection
