iso3,country,income_group_2025,share_world_gdp_ppp_pct,share_world_gdp_mer_pct,price_level_index_us100,ppp_uplift_factor,gdp_ppp_bn_intl_usd,gdp_mer_bn_usd
CHN,China,UMIC,19.61,16.609,47.588,2.101,41241.951,19626.247
USA,US,HIC,14.63,26.037,100.0,1.0,30767.075,30767.075
IND,India,LMIC,8.206,3.314,22.693,4.407,17257.883,3916.312
RUS,Russia,HIC,3.441,2.19,35.762,2.796,7236.601,2587.938
JPN,Japan,HIC,3.333,3.753,63.273,1.58,7009.525,4435.163
DEU,Germany,HIC,2.939,4.272,81.67,1.224,6181.073,5048.059
IDN,Indonesia,UMIC,2.4,1.223,28.641,3.492,5047.517,1445.642
BRA,Brazil,UMIC,2.372,1.929,45.702,2.188,4988.607,2279.918
FRA,France,HIC,2.17,2.851,73.828,1.355,4563.23,3368.925
GBR,UK,HIC,2.165,3.388,87.919,1.137,4553.105,4003.022
