year,rank,iso3,economy,gdp_bn_2011_intl_usd
1820,1,CHN,China,336.0
1820,2,IND,India,196.6
1820,3,GBR,United Kingdom,70.2
1820,4,FRA,France,56.5
1820,5,ITA,Italy,50.9
1830,1,CHN,China,346.0
1830,2,IND,India,205.4
1830,3,GBR,United Kingdom,85.7
1830,4,FRA,France,63.2
1830,5,DEU,Germany,57.3
1840,1,CHN,China,349.8
1840,2,IND,India,213.8
1840,3,GBR,United Kingdom,107.5
1840,4,FRA,France,79.4
1840,5,DEU,Germany,67.4
1850,1,CHN,China,353.5
1850,2,IND,India,223.3
1850,3,GBR,United Kingdom,117.7
1850,4,FRA,France,92.5
1850,5,USA,United States,85.6
1860,1,CHN,China,345.8
1860,2,IND,India,220.1
1860,3,GBR,United Kingdom,146.9
1860,4,USA,United States,140.2
1860,5,FRA,France,112.5
1870,1,CHN,China,338.3
1870,2,IND,India,215.0
1870,3,USA,United States,193.3
1870,4,GBR,United Kingdom,183.0
1870,5,SUN,USSR,141.5
1880,1,CHN,China,341.2
1880,2,USA,United States,315.7
1880,3,IND,India,228.1
1880,4,GBR,United Kingdom,207.6
1880,5,SUN,USSR,147.0
1890,1,USA,United States,421.9
1890,2,CHN,China,366.3
1890,3,IND,India,260.3
1890,4,GBR,United Kingdom,256.6
1890,5,DEU,Germany,184.2
1900,1,USA,United States,614.0
1900,2,CHN,China,388.8
1900,3,GBR,United Kingdom,312.5
1900,4,IND,India,271.7
1900,5,DEU,Germany,258.8
1910,1,USA,United States,894.0
1910,2,CHN,China,387.2
1910,3,GBR,United Kingdom,346.7
1910,4,IND,India,335.6
1910,5,DEU,Germany,335.6
1920,1,USA,United States,1085.2
1920,2,CHN,China,455.1
1920,3,GBR,United Kingdom,328.5
1920,4,IND,India,309.3
1920,5,DEU,Germany,271.4
1930,1,USA,United States,1322.6
1930,2,CHN,China,494.9
1930,3,DEU,Germany,412.2
1930,4,SUN,USSR,402.1
1930,5,GBR,United Kingdom,397.8
1940,1,USA,United States,1592.3
1940,2,SUN,USSR,669.6
1940,3,DEU,Germany,601.4
1940,4,GBR,United Kingdom,527.0
1940,5,CHN,China,501.0
1950,1,USA,United States,2320.6
1950,2,SUN,USSR,813.3
1950,3,GBR,United Kingdom,554.5
1950,4,CHN,China,436.9
1950,5,DEU,Germany,423.0
1960,1,USA,United States,3262.4
1960,2,SUN,USSR,1344.2
1960,3,DEU,Germany,890.2
1960,4,GBR,United Kingdom,721.7
1960,5,CHN,China,705.1
1970,1,USA,United States,4912.6
1970,2,SUN,USSR,2154.7
1970,3,JPN,Japan,1615.7
1970,4,DEU,Germany,1343.9
1970,5,CHN,China,1144.0
1980,1,USA,United States,6743.2
1980,2,SUN,USSR,2724.4
1980,3,JPN,Japan,2500.1
1980,4,CHN,China,1893.8
1980,5,DEU,Germany,1761.5
1990,1,USA,United States,9250.4
1990,2,JPN,Japan,3699.8
1990,3,CHN,China,3385.1
1990,4,SUN,USSR,3168.8
1990,5,DEU,Germany,2015.5
2000,1,USA,United States,12947.4
2000,2,CHN,China,5952.7
2000,3,JPN,Japan,4209.7
2000,4,IND,India,2804.5
2000,5,DEU,Germany,2718.6
2010,1,USA,United States,15239.6
2010,2,CHN,China,12858.8
2010,3,IND,India,5361.4
2010,4,JPN,Japan,4480.3
2010,5,DEU,Germany,3301.1
2020,1,CHN,China,24151.8
2020,2,USA,United States,18027.4
2020,3,IND,India,8945.3
2020,4,JPN,Japan,4626.7
2020,5,DEU,Germany,3742.7
2022,1,CHN,China,26966.0
2022,2,USA,United States,19493.2
2022,3,IND,India,10476.2
2022,4,JPN,Japan,4774.5
2022,5,DEU,Germany,3909.6
