year,china_gdp_bn_2011_intl_usd,united_states_gdp_bn_2011_intl_usd
1820,336.042,26.69
1821,,27.964
1822,,29.658
1823,,30.227
1824,,31.982
1825,,33.62
1826,,34.81
1827,,35.894
1828,,36.861
1829,,36.569
1830,346.014,40.238
1831,,44.058
1832,,47.057
1833,,50.15
1834,,49.145
1835,,52.438
1836,,54.66
1837,,54.344
1838,,55.243
1839,,59.39
1840,349.788,57.904
1841,,58.728
1842,,60.164
1843,,63.128
1844,,68.683
1845,,71.88
1846,,74.456
1847,,78.626
1848,,82.933
1849,,82.996
1850,353.496,85.638
1851,,92.211
1852,,100.198
1853,,110.971
1854,,114.357
1855,,115.306
1856,,121.206
1857,,122.03
1858,,126.084
1859,,133.003
1860,,140.152
1861,,140.904
1862,,149.042
1863,,162.622
1864,,172.059
1865,,167.081
1866,,169.593
1867,,179.172
1868,,185.632
1869,,194.685
1870,338.31,193.278
1871,,202.149
1872,,210.342
1873,,220.908
1874,,219.512
1875,,230.981
1876,,233.742
1877,,241.295
1878,,251.432
1879,,282.359
1880,,315.652
1881,,326.883
1882,,347.743
1883,,356.233
1884,,362.654
1885,,365.399
1886,,376.421
1887,343.239,393.366
1888,,391.556
1889,,415.86
1890,366.32,421.879
1891,,440.079
1892,,482.817
1893,,459.473
1894,,446.221
1895,,500.099
1896,,489.991
1897,,536.745
1898,,547.965
1899,,597.661
1900,388.8,613.998
1901,,683.106
1902,,690.127
1903,,723.766
1904,,714.622
1905,,767.533
1906,,855.994
1907,,869.071
1908,,799.356
1909,,890.11
1910,,893.975
1911,387.034,917.452
1912,,954.787
1913,430.583,986.598
1914,,905.134
1915,,925.041
1916,,1046.398
1917,,1014.196
1918,,1099.047
1919,,1102.17
1920,,1085.155
1921,,1054.214
1922,,1105.913
1923,,1244.264
1924,,1274.654
1925,,1296.54
1926,,1372.771
1927,,1378.145
1928,,1385.247
1929,488.735,1461.345
1930,494.868,1322.627
1931,500.03,1237.726
1932,515.663,1051.217
1933,461.5,1015.525
1934,470.973,1100.53
1935,508.829,1237.782
1936,540.976,1359.902
1937,528.002,1462.309
1938,514.876,1373.408
1939,,1469.481
1940,,1592.32
1941,,1815.099
1942,,2013.171
1943,,2203.245
1944,,2361.836
1945,,2314.668
1946,,2103.901
1947,,2070.709
1948,,2168.923
1949,,2126.236
1950,436.905,2320.61
1951,529.606,2497.408
1952,595.649,2590.802
1953,672.668,2709.833
1954,624.48,2691.885
1955,681.085,2882.221
1956,738.922,2938.405
1957,761.703,2993.554
1958,766.245,2963.55
1959,743.928,3183.157
1960,705.093,3262.376
1961,577.128,3338.584
1962,616.503,3539.745
1963,705.534,3692.868
1964,804.505,3906.86
1965,896.127,4156.141
1966,927.339,4428.3
1967,933.378,4538.98
1968,912.373,4754.926
1969,1006.176,4903.77
1970,1144.004,4912.636
1971,1216.238,5065.682
1972,1233.565,5334.297
1973,1334.375,5637.203
1974,1367.632,5621.366
1975,1460.734,5605.795
1976,1413.711,5899.591
1977,1493.489,6166.912
1978,1667.552,6518.624
1979,1801.38,6740.172
1980,1893.784,6743.208
1981,1949.955,6911.865
1982,2128.598,6782.207
1983,2278.862,7066.237
1984,2534.0,7581.108
1985,2752.674,7874.872
1986,2931.539,8146.028
1987,3177.307,8432.567
1988,3354.463,8787.203
1989,3380.56,9091.291
1990,3385.122,9250.378
1991,3508.948,9224.688
1992,3755.038,9552.658
1993,4126.17,9814.94
1994,4438.753,10211.204
1995,4810.0,10488.857
1996,5127.59,10886.953
1997,5291.339,11375.561
1998,5338.703,11881.793
1999,5578.503,12438.445
2000,5952.682,12947.418
2001,6329.737,13073.81
2002,6814.494,13307.343
2003,7248.623,13680.912
2004,7830.953,14198.91
2005,8602.94,14673.826
2006,9489.543,15065.164
2007,10358.206,15333.183
2008,10799.148,15288.553
2009,11572.544,14864.003
2010,12858.808,15239.587
2011,13691.527,15477.886
2012,14773.158,15830.888
2013,15925.464,16122.473
2014,17103.948,16491.318
2015,18301.225,16937.635
2016,19545.708,17220.066
2017,20894.362,17606.125
2018,22294.284,18124.693
2019,23631.941,18540.553
2020,24151.844,18027.36
2021,26180.599,19099.379
2022,26966.017,19493.171
