year,fdi_net_inflows_pct_gdp
1970,-0.01306
1971,0.01266
1972,0.01175
1973,0.01739
1974,0.03917
1975,0.00376
1976,3e-05
1977,-0.02969
1978,0.05394
1979,1.39427
1980,1.06868
1981,1.11563
1982,1.333
1983,0.73103
1984,0.53963
1985,0.43761
1986,0.46405
1987,0.89049
1988,0.6552
1989,0.28253
1990,0.53974
1991,0.53719
1992,1.26379
1993,1.88108
1994,1.4202
1995,0.42975
1996,0.86255
1997,2.84958
1998,1.22725
1999,1.12278
2000,1.04207
2001,1.09075
2002,1.18828
2003,1.21133
2004,1.12668
2005,1.11613
2006,1.69701
2007,1.86397
2008,1.84753
2009,0.96039
2010,0.81445
2011,1.41088
2012,1.33592
2013,1.21148
2014,1.08278
2015,0.79875
2016,1.01937
2017,1.45463
2018,1.70889
2019,0.83537
2020,0.5147
2021,0.66883
2022,1.19249
2023,0.84802
2024,0.76408
