economy,employment,value_added,gap_pp,panel
Bangladesh,44.26,11.16,33.1,regional comparators
India,41.63,17.57,24.06,regional comparators
Pakistan,36.23,23.73,12.5,regional comparators
Cambodia,33.4,16.58,16.82,regional comparators
Thailand,28.56,8.89,19.67,regional comparators
Indonesia,27.3,12.61,14.69,regional comparators
Sri Lanka,25.86,8.37,17.49,regional comparators
Vietnam,25.04,12.03,13.01,regional comparators
Nepal,22.91,21.67,1.24,regional comparators
China,21.68,6.8,14.88,regional comparators
Philippines,20.49,9.09,11.4,regional comparators
Malaysia,9.18,8.13,1.05,regional comparators
"Korea, Rep.",5.1,1.46,3.64,regional comparators
Kenya,45.79,22.44,23.35,structural peers
Côte d'Ivoire,45.37,15.86,29.51,structural peers
Ghana,34.57,20.58,13.99,structural peers
Ecuador,32.48,9.24,23.24,structural peers
Senegal,29.58,15.57,14.01,structural peers
Guatemala,29.05,9.66,19.39,structural peers
Sri Lanka,25.86,8.37,17.49,structural peers
Bolivia,24.71,8.83,15.88,structural peers
Peru,23.13,7.47,15.66,structural peers
Philippines,20.49,9.09,11.4,structural peers
Paraguay,15.97,11.25,4.72,structural peers
El Salvador,13.85,4.51,9.34,structural peers
Costa Rica,11.49,3.43,8.06,structural peers
Dominican Rep.,7.01,4.45,2.56,structural peers
