# chart,"The world has reached Peak Middle Income (middle-income population, levels and shares)"
# source,World Bank OGHIST (1 July 2026) Country Analytical History with WDI GNI per capita (Atlas method) and population (SP.POP.TOTL) to 2025; UN World Population Prospects 2024 medium variant from 2026; author's calculations.
# method,"Classifications actual through 2025, projected from 2026. GNI per capita grows at each economy's median annual rate over the decade to 2025, floored at the 1.244 percent threshold drift so no economy is downgraded, capped at the 90th percentile of decade medians within its own 2025 income group; 15 economies without a usable growth record held at their 2025 class. All three thresholds rise 1.244 percent a year, the median annual increase in the published thresholds over the same decade."
# note,Middle income is the lower-middle and upper-middle groups combined.
# note,"Levels peak 2025; shares peak 2016. The 2025 levels figure is a nowcast, since population for 2025 is a projection."
# note,"Shares are of total world population, so they include the small share in economies the World Bank does not classify."
# levels are millions of people or a count of economies; shares are percent

year,middle_income_population_millions,world_population_millions,middle_income_share_of_world_percent,labelled_on_levels_panel,labelled_on_shares_panel,peak_levels_panel,peak_shares_panel
1987,1035.2595,5026.7704,20.5949,yes,yes,,
1988,1067.7698,5116.8988,20.8675,,,,
1989,1097.5137,5207.3784,21.0761,,,,
1990,1410.6649,5298.962,26.6215,,,,
1991,1403.8427,5388.2033,26.054,,,,
1992,1418.7917,5476.8229,25.9054,,,,
1993,1600.1563,5564.4591,28.7567,,,,
1994,1577.1306,5650.5344,27.9112,,,,
1995,1605.9527,5736.2051,27.9968,,,,
1996,1618.6478,5822.3279,27.8007,,,,
1997,2879.0806,5908.1803,48.7304,,,,
1998,1489.2354,5993.7308,24.8466,,,,
1999,2687.5661,6078.0698,44.2174,,,,
2000,2718.7111,6161.5285,44.124,,,,
2001,2691.1377,6244.7397,43.0945,,,,
2002,2762.6603,6327.1713,43.6634,,,,
2003,3023.8421,6409.3524,47.1786,,,,
2004,3050.6476,6492.3546,46.9883,,,,
2005,3108.3866,6575.41,47.2729,,,,
2006,3121.4949,6659.536,46.8726,,,,
2007,4355.8393,6744.0495,64.5879,,,,
2008,4775.2051,6830.0809,69.9143,,,,
2009,4943.5477,6916.1682,71.4781,,,,
2010,5055.0871,7000.8601,72.2067,,,,
2011,5123.1897,7086.7041,72.293,,,,
2012,5020.2818,7176.4822,69.9546,,,,
2013,5098.8554,7265.4047,70.1799,,,,
2014,5328.8822,7353.5322,72.467,,,,
2015,5611.9303,7441.0848,75.4182,,,,
2016,5678.1342,7528.2216,75.4246,,yes,,yes
2017,5626.4645,7613.7887,73.8984,,,,
2018,5760.6948,7696.1597,74.8515,,,,
2019,5850.5119,7777.1625,75.2268,,,,
2020,5921.1455,7853.8631,75.3915,,,,
2021,5926.1297,7919.568,74.829,,,,
2022,6002.2663,7988.5502,75.1359,,,,
2023,5896.2036,8062.9234,73.1274,,,,
2024,5939.0066,8140.8975,72.9527,,,,
2025,6024.1948,8215.4249,73.3279,yes,yes,yes,
2026,4541.7748,8284.3544,54.8235,,,,
2027,4633.3205,8352.6358,55.4714,,,,
2028,4683.1447,8420.0275,55.6191,,,,
2029,4763.018,8486.5629,56.1242,,,,
2030,4815.0276,8552.273,56.3011,,,,
2031,4866.944,8617.1396,56.4798,,,,
2032,4911.4172,8681.124,56.5758,,,,
2033,4939.2446,8744.2189,56.4858,,,,
2034,4986.2088,8806.4322,56.6201,,,,
2035,5035.9564,8867.7366,56.7896,,,,
2036,5085.0895,8928.0942,56.956,,,,
2037,5133.5156,8987.4432,57.1188,,,,
2038,5142.8893,9045.7486,56.8542,,,,
2039,5177.4265,9102.9913,56.8761,,,,
2040,5219.4838,9159.1425,56.9866,,,,
2041,5441.7872,9214.1255,59.0592,,,,
2042,5490.6915,9267.8484,59.2445,,,,
2043,5538.1994,9320.296,59.4209,,,,
2044,5525.0659,9371.4077,58.9566,,,,
2045,5352.5591,9421.0758,56.8147,,,,
2046,5229.2768,9469.2309,55.2239,,,,
2047,5274.0687,9515.7955,55.4244,,,,
2048,5317.6763,9560.6971,55.6202,,,,
2049,5360.6516,9603.8999,55.8174,,,,
2050,5402.8864,9645.3728,56.0153,yes,yes,,
