economy,gni_per_capita_usd_atlas_2025,population_millions_2025,income_group_fy27,shown_in_linear_panel
Bermuda,139370,0.065,High income,False
Liechtenstein,116380,0.041,High income,False
Switzerland,110330,9.092,High income,False
Norway,97310,5.611,High income,False
Luxembourg,95720,0.687,High income,False
Iceland,89220,0.392,High income,True
United States,88810,341.785,High income,True
Ireland,87360,5.484,High income,True
Isle of Man,87030,0.084,High income,True
Cayman Islands,81920,0.076,High income,True
Singapore,81760,6.111,High income,True
Denmark,77190,6.009,High income,True
Qatar,74330,2.972,High income,True
Faeroe Islands,73120,0.055,High income,True
"Macao SAR, China",69920,0.686,High income,True
Netherlands,68530,18.088,High income,True
Australia,64120,27.614,High income,True
Sweden,63010,10.597,High income,True
"Hong Kong SAR, China",62500,7.499,High income,True
Austria,60360,9.208,High income,True
Germany,60200,83.491,High income,True
Belgium,59500,11.942,High income,True
Canada,56420,41.652,High income,True
Israel,56180,10.123,High income,True
Finland,55250,5.646,High income,True
United Kingdom,54550,69.487,High income,True
San Marino,53910,0.034,High income,True
Andorra,53230,0.083,High income,True
United Arab Emirates,51550,11.513,High income,True
France,48630,68.72,High income,True
New Zealand,46630,5.325,High income,True
Italy,42080,58.916,High income,True
Malta,41440,0.58,High income,True
Kuwait,41110,4.865,High income,True
Sint Maarten (Dutch part),38950,0.044,High income,True
Japan,38340,123.367,High income,True
"Korea, Rep.",37880,51.685,High income,True
Spain,37120,49.355,High income,True
"Bahamas, The",37020,0.403,High income,True
Turks and Caicos Islands,36760,0.047,High income,True
Cyprus,36110,1.371,High income,True
Saudi Arabia,36070,36.974,High income,True
Slovenia,35520,2.131,High income,True
Aruba,35200,0.109,High income,True
Greenland,34800,0.057,High income,True
Brunei Darussalam,34790,0.466,High income,True
Czechia,32960,10.887,High income,True
Estonia,32310,1.366,High income,True
Lithuania,30500,2.889,High income,True
New Caledonia,30070,0.295,High income,True
Portugal,29930,10.805,High income,True
Bahrain,28790,1.6,High income,True
Guyana,28470,0.836,High income,True
Puerto Rico (U.S.),27320,3.185,High income,True
Barbados,27080,0.283,High income,True
Slovak Republic,26410,5.414,High income,True
Poland,25520,36.436,High income,True
Greece,25360,10.414,High income,True
Croatia,25360,3.876,High income,True
Latvia,24980,1.848,High income,True
St. Kitts and Nevis,24530,0.047,High income,True
French Polynesia,24100,0.282,High income,True
Uruguay,24020,3.385,High income,True
Hungary,23850,9.514,High income,True
Antigua and Barbuda,23790,0.094,High income,True
Curaçao,22570,0.156,High income,True
Nauru,20690,0.012,High income,True
Romania,20190,19.02,High income,True
Palau,19890,0.018,High income,True
Oman,19520,5.495,High income,True
Seychelles,19200,0.123,High income,True
Panama,19140,4.571,High income,True
Trinidad and Tobago,18550,1.368,High income,True
Costa Rica,17930,5.153,High income,True
Bulgaria,17780,6.433,High income,True
Chile,16960,19.86,High income,True
Türkiye,16300,85.879,Upper middle income,True
Russian Federation,15960,143.513,High income,True
Argentina,14650,45.851,Upper middle income,True
China,14230,1406.585,Upper middle income,True
Montenegro,14150,0.623,Upper middle income,True
Mauritius,14040,1.244,Upper middle income,True
Kazakhstan,13740,20.844,Upper middle income,True
Mexico,13730,131.947,Upper middle income,True
Serbia,13480,6.549,Upper middle income,True
St. Lucia,13410,0.18,Upper middle income,True
Maldives,12950,0.53,Upper middle income,True
Malaysia,12380,35.978,Upper middle income,True
Albania,12060,2.35,Upper middle income,True
St. Vincent and the Grenadines,12000,0.1,Upper middle income,True
Grenada,11660,0.117,Upper middle income,True
Dominica,10690,0.066,Upper middle income,True
Dominican Republic,10620,11.52,Upper middle income,True
Brazil,10550,212.812,Upper middle income,True
Bosnia and Herzegovina,9940,3.14,Upper middle income,True
Tuvalu,9780,0.009,Upper middle income,True
Marshall Islands,9710,0.036,Upper middle income,True
North Macedonia,9490,1.821,Upper middle income,True
Belarus,9160,9.086,Upper middle income,True
Armenia,9020,3.087,Upper middle income,True
Cuba,9010,10.937,Upper middle income,True
Georgia,8990,3.936,Upper middle income,True
Peru,8430,34.577,Upper middle income,True
Gabon,8090,2.593,Upper middle income,True
Moldova,8050,2.361,Upper middle income,True
Colombia,7900,53.426,Upper middle income,True
Jamaica,7790,2.837,Upper middle income,True
Kosovo,7760,1.577,Upper middle income,True
Thailand,7690,71.62,Upper middle income,True
Belize,7530,0.423,Upper middle income,True
Botswana,7390,2.562,Upper middle income,True
Azerbaijan,7360,10.247,Upper middle income,True
Libya,7250,7.459,Upper middle income,True
Ecuador,6890,18.29,Upper middle income,True
Tonga,6840,0.104,Upper middle income,True
Paraguay,6750,7.013,Upper middle income,True
Guatemala,6360,18.688,Upper middle income,True
Turkmenistan,6340,7.619,Upper middle income,True
South Africa,6270,64.747,Upper middle income,True
Fiji,6230,0.933,Upper middle income,True
Mongolia,6210,3.569,Upper middle income,True
Suriname,6140,0.64,Upper middle income,True
Equatorial Guinea,5890,1.938,Upper middle income,True
Algeria,5850,47.435,Upper middle income,True
Iraq,5690,47.021,Upper middle income,True
Samoa,5640,0.219,Upper middle income,True
Cabo Verde,5590,0.527,Upper middle income,True
Ukraine,5510,38.98,Upper middle income,True
El Salvador,5410,6.366,Upper middle income,True
Jordan,5260,11.521,Upper middle income,True
Indonesia,5120,285.721,Upper middle income,True
Viet Nam,4970,101.599,Upper middle income,True
Philippines,4850,116.787,Upper middle income,True
"Micronesia, Fed. Sts.",4760,0.114,Upper middle income,True
Sri Lanka,4670,21.756,Upper middle income,True
"Iran, Islamic Rep.",4650,92.418,Upper middle income,True
Bolivia,4420,12.582,Lower middle income,True
Vanuatu,4410,0.335,Lower middle income,True
Morocco,4360,38.431,Lower middle income,True
Namibia,4340,3.093,Lower middle income,True
Bhutan,4310,0.797,Lower middle income,True
Tunisia,4300,12.349,Lower middle income,True
Djibouti,3960,1.184,Lower middle income,True
Kiribati,3930,0.136,Lower middle income,True
"Venezuela, RB",3860,28.517,Lower middle income,True
São Tomé and Príncipe,3800,0.24,Lower middle income,True
Eswatini,3730,1.256,Lower middle income,True
Uzbekistan,3670,37.053,Lower middle income,True
Lebanon,3560,5.849,Lower middle income,True
Honduras,3270,11.006,Lower middle income,True
"Egypt, Arab Rep.",3260,118.366,Lower middle income,True
West Bank and Gaza,3250,5.414,Lower middle income,True
Papua New Guinea,2890,10.763,Lower middle income,True
Angola,2860,39.04,Lower middle income,True
Nicaragua,2850,7.008,Lower middle income,True
Bangladesh,2840,175.687,Lower middle income,True
Kyrgyz Republic,2800,7.343,Lower middle income,True
Côte d'Ivoire,2780,32.712,Lower middle income,True
India,2760,1463.866,Lower middle income,True
Cambodia,2750,17.848,Lower middle income,True
Zimbabwe,2660,16.951,Lower middle income,True
Ghana,2630,35.064,Lower middle income,True
"Congo, Rep.",2280,6.484,Lower middle income,True
Mauritania,2210,5.315,Lower middle income,True
Kenya,2200,57.532,Lower middle income,True
Lao PDR,2150,7.873,Lower middle income,True
Tajikistan,2080,10.787,Lower middle income,True
Solomon Islands,2020,0.839,Lower middle income,True
Haiti,2010,11.906,Lower middle income,True
Comoros,1950,0.883,Lower middle income,True
Cameroon,1860,29.879,Lower middle income,True
Senegal,1780,18.932,Lower middle income,True
Guinea,1730,15.1,Lower middle income,True
Benin,1600,14.814,Lower middle income,True
Nepal,1570,29.618,Lower middle income,True
Timor-Leste,1510,1.419,Lower middle income,True
Pakistan,1500,255.22,Lower middle income,True
Nigeria,1360,237.528,Lower middle income,True
Togo,1350,8.592,Lower middle income,True
Myanmar,1320,54.851,Lower middle income,True
Lesotho,1280,2.363,Lower middle income,True
Tanzania,1270,70.546,Lower middle income,True
Zambia,1200,21.914,Lower middle income,True
Rwanda,1150,14.569,Low income,True
Uganda,1120,51.385,Low income,True
Mali,1120,25.199,Low income,True
Ethiopia,1110,135.472,Low income,True
Guinea-Bissau,1090,2.25,Low income,True
South Sudan,1050,12.189,Low income,True
Burkina Faso,980,24.075,Low income,True
Chad,970,21.004,Low income,True
"Gambia, The",930,2.822,Low income,True
Sudan,900,51.662,Low income,True
Sierra Leone,830,8.82,Low income,True
Liberia,830,5.731,Low income,True
Niger,750,27.918,Low income,True
"Yemen, Rep.",740,41.774,Low income,True
"Congo, Dem. Rep.",720,112.832,Low income,True
Syrian Arab Republic,720,25.62,Low income,True
Eritrea,650,3.607,Low income,True
"Somalia, Fed. Rep.",640,19.655,Low income,True
Malawi,600,22.216,Low income,True
Mozambique,570,35.632,Low income,True
Central African Republic,560,5.513,Low income,True
Madagascar,560,32.741,Low income,True
Afghanistan,390,43.844,Low income,True
Burundi,240,14.39,Low income,True
