month,country,publication,category,count,total_count,ratio,days_observed,days_in_month,complete_month
2016-01,"Hong Kong SAR, China",South China Morning Post,Developing,15,3433,0.004369356248179435,31,31,True
2016-02,"Hong Kong SAR, China",South China Morning Post,Developing,5,3031,0.001649620587264929,29,29,True
2016-03,"Hong Kong SAR, China",South China Morning Post,Developing,5,3536,0.001414027149321267,31,31,True
2016-04,"Hong Kong SAR, China",South China Morning Post,Developing,7,3295,0.0021244309559939304,30,30,True
2016-05,"Hong Kong SAR, China",South China Morning Post,Developing,21,3220,0.006521739130434782,31,31,True
2016-06,"Hong Kong SAR, China",South China Morning Post,Developing,14,3630,0.003856749311294766,30,30,True
2016-07,"Hong Kong SAR, China",South China Morning Post,Developing,15,3627,0.0041356492969396195,31,31,True
2016-08,"Hong Kong SAR, China",South China Morning Post,Developing,19,3892,0.004881808838643371,31,31,True
2016-09,"Hong Kong SAR, China",South China Morning Post,Developing,25,3867,0.006464959917248513,30,30,True
2016-10,"Hong Kong SAR, China",South China Morning Post,Developing,18,3360,0.005357142857142857,31,31,True
2016-11,"Hong Kong SAR, China",South China Morning Post,Developing,13,3112,0.004177377892030848,30,30,True
2016-12,"Hong Kong SAR, China",South China Morning Post,Developing,6,2643,0.0022701475595913734,31,31,True
2017-01,"Hong Kong SAR, China",South China Morning Post,Developing,14,3800,0.0036842105263157894,31,31,True
2017-02,"Hong Kong SAR, China",South China Morning Post,Developing,10,3503,0.0028546959748786756,28,28,True
2017-03,"Hong Kong SAR, China",South China Morning Post,Developing,13,4039,0.0032186184699182965,31,31,True
2017-04,"Hong Kong SAR, China",South China Morning Post,Developing,14,3518,0.003979533826037522,30,30,True
2017-05,"Hong Kong SAR, China",South China Morning Post,Developing,21,3622,0.005797901711761457,31,31,True
2017-06,"Hong Kong SAR, China",South China Morning Post,Developing,17,3937,0.004318008636017272,30,30,True
2017-07,"Hong Kong SAR, China",South China Morning Post,Developing,14,3776,0.003707627118644068,31,31,True
2017-08,"Hong Kong SAR, China",South China Morning Post,Developing,6,3849,0.001558846453624318,31,31,True
2017-09,"Hong Kong SAR, China",South China Morning Post,Developing,20,3093,0.006466214031684449,30,30,True
2017-10,"Hong Kong SAR, China",South China Morning Post,Developing,15,3317,0.004522158577027435,31,31,True
2017-11,"Hong Kong SAR, China",South China Morning Post,Developing,9,3525,0.002553191489361702,30,30,True
2017-12,"Hong Kong SAR, China",South China Morning Post,Developing,25,3651,0.006847439057792386,31,31,True
2018-01,"Hong Kong SAR, China",South China Morning Post,Developing,15,4021,0.0037304153195722458,31,31,True
2018-02,"Hong Kong SAR, China",South China Morning Post,Developing,5,3301,0.001514692517418964,28,28,True
2018-03,"Hong Kong SAR, China",South China Morning Post,Developing,18,3793,0.004745583970471922,31,31,True
2018-04,"Hong Kong SAR, China",South China Morning Post,Developing,16,3065,0.0052202283849918435,30,30,True
2018-05,"Hong Kong SAR, China",South China Morning Post,Developing,19,3752,0.005063965884861407,31,31,True
2018-06,"Hong Kong SAR, China",South China Morning Post,Developing,21,4064,0.00516732283464567,30,30,True
2018-07,"Hong Kong SAR, China",South China Morning Post,Developing,20,3850,0.005194805194805195,31,31,True
2018-08,"Hong Kong SAR, China",South China Morning Post,Developing,25,3801,0.006577216521967903,31,31,True
2018-09,"Hong Kong SAR, China",South China Morning Post,Developing,17,2000,0.0085,30,30,True
2018-10,"Hong Kong SAR, China",South China Morning Post,Developing,34,3168,0.010732323232323232,31,31,True
2018-11,"Hong Kong SAR, China",South China Morning Post,Developing,10,1579,0.006333122229259025,30,30,True
2018-12,"Hong Kong SAR, China",South China Morning Post,Developing,28,3779,0.0074093675575549085,31,31,True
2019-01,"Hong Kong SAR, China",South China Morning Post,Developing,21,3515,0.005974395448079659,31,31,True
2019-02,"Hong Kong SAR, China",South China Morning Post,Developing,9,3354,0.0026833631484794273,28,28,True
2019-03,"Hong Kong SAR, China",South China Morning Post,Developing,5,3700,0.0013513513513513514,31,31,True
2019-04,"Hong Kong SAR, China",South China Morning Post,Developing,7,3497,0.0020017157563625965,30,30,True
2019-05,"Hong Kong SAR, China",South China Morning Post,Developing,3,3623,0.0008280430582390284,31,31,True
2019-06,"Hong Kong SAR, China",South China Morning Post,Developing,3,3417,0.000877963125548727,30,30,True
2019-07,"Hong Kong SAR, China",South China Morning Post,Developing,3,3485,0.000860832137733142,31,31,True
2019-08,"Hong Kong SAR, China",South China Morning Post,Developing,1,3595,0.0002781641168289291,31,31,True
2019-09,"Hong Kong SAR, China",South China Morning Post,Developing,3,3583,0.0008372871895060006,30,30,True
2019-10,"Hong Kong SAR, China",South China Morning Post,Developing,0,3556,0.0,31,31,True
2019-11,"Hong Kong SAR, China",South China Morning Post,Developing,2,3516,0.0005688282138794084,30,30,True
2019-12,"Hong Kong SAR, China",South China Morning Post,Developing,9,3374,0.0026674570243034974,31,31,True
2020-01,"Hong Kong SAR, China",South China Morning Post,Developing,3,3566,0.0008412787436904094,31,31,True
2020-02,"Hong Kong SAR, China",South China Morning Post,Developing,1,2149,0.00046533271288971617,29,29,True
2020-03,"Hong Kong SAR, China",South China Morning Post,Developing,3,3232,0.0009282178217821782,31,31,True
2020-04,"Hong Kong SAR, China",South China Morning Post,Developing,3,3516,0.0008532423208191126,30,30,True
2020-05,"Hong Kong SAR, China",South China Morning Post,Developing,2,3572,0.0005599104143337066,31,31,True
2020-06,"Hong Kong SAR, China",South China Morning Post,Developing,5,3555,0.0014064697609001407,30,30,True
2020-07,"Hong Kong SAR, China",South China Morning Post,Developing,6,3581,0.0016755096341803965,31,31,True
2020-08,"Hong Kong SAR, China",South China Morning Post,Developing,3,3522,0.0008517887563884157,31,31,True
2020-09,"Hong Kong SAR, China",South China Morning Post,Developing,3,3538,0.0008479366873940079,30,30,True
2020-10,"Hong Kong SAR, China",South China Morning Post,Developing,7,3829,0.0018281535648994515,31,31,True
2020-11,"Hong Kong SAR, China",South China Morning Post,Developing,8,3569,0.002241524236480807,30,30,True
2020-12,"Hong Kong SAR, China",South China Morning Post,Developing,10,3452,0.0028968713789107765,31,31,True
2021-01,"Hong Kong SAR, China",South China Morning Post,Developing,2,3347,0.0005975500448162533,31,31,True
2021-02,"Hong Kong SAR, China",South China Morning Post,Developing,4,2887,0.0013855213023900243,28,28,True
2021-03,"Hong Kong SAR, China",South China Morning Post,Developing,2,3509,0.0005699629524080935,31,31,True
2021-04,"Hong Kong SAR, China",South China Morning Post,Developing,5,3282,0.0015234613040828763,30,30,True
2021-05,"Hong Kong SAR, China",South China Morning Post,Developing,7,3225,0.0021705426356589145,31,31,True
2021-06,"Hong Kong SAR, China",South China Morning Post,Developing,5,3203,0.0015610365282547611,30,30,True
2021-07,"Hong Kong SAR, China",South China Morning Post,Developing,6,3407,0.0017610801291458762,31,31,True
2021-08,"Hong Kong SAR, China",South China Morning Post,Developing,3,3059,0.0009807126511932004,31,31,True
2021-09,"Hong Kong SAR, China",South China Morning Post,Developing,9,3144,0.0028625954198473282,30,30,True
2021-10,"Hong Kong SAR, China",South China Morning Post,Developing,11,3001,0.0036654448517160947,31,31,True
2021-11,"Hong Kong SAR, China",South China Morning Post,Developing,10,2920,0.003424657534246575,30,30,True
2021-12,"Hong Kong SAR, China",South China Morning Post,Developing,8,2893,0.00276529554096094,31,31,True
2022-01,"Hong Kong SAR, China",South China Morning Post,Developing,3,3053,0.000982640026203734,31,31,True
2022-02,"Hong Kong SAR, China",South China Morning Post,Developing,1,2814,0.00035536602700781805,28,28,True
2022-03,"Hong Kong SAR, China",South China Morning Post,Developing,6,3276,0.0018315018315018315,31,31,True
2022-04,"Hong Kong SAR, China",South China Morning Post,Developing,4,2486,0.0016090104585679806,30,30,True
2022-05,"Hong Kong SAR, China",South China Morning Post,Developing,4,3202,0.0012492192379762648,31,31,True
2022-06,"Hong Kong SAR, China",South China Morning Post,Developing,13,3211,0.004048582995951417,30,30,True
2022-07,"Hong Kong SAR, China",South China Morning Post,Developing,3,3002,0.000999333777481679,31,31,True
2022-08,"Hong Kong SAR, China",South China Morning Post,Developing,5,3081,0.0016228497241155468,31,31,True
2022-09,"Hong Kong SAR, China",South China Morning Post,Developing,4,2982,0.0013413816230717639,30,30,True
2022-10,"Hong Kong SAR, China",South China Morning Post,Developing,10,3005,0.0033277870216306157,31,31,True
2022-11,"Hong Kong SAR, China",South China Morning Post,Developing,7,3111,0.0022500803600128574,30,30,True
2022-12,"Hong Kong SAR, China",South China Morning Post,Developing,6,3041,0.0019730351857941467,31,31,True
2023-01,"Hong Kong SAR, China",South China Morning Post,Developing,4,3008,0.0013297872340425532,31,31,True
2023-02,"Hong Kong SAR, China",South China Morning Post,Developing,8,2826,0.0028308563340410475,28,28,True
2023-03,"Hong Kong SAR, China",South China Morning Post,Developing,6,3216,0.0018656716417910447,31,31,True
2023-04,"Hong Kong SAR, China",South China Morning Post,Developing,5,2925,0.0017094017094017094,30,30,True
2023-05,"Hong Kong SAR, China",South China Morning Post,Developing,7,3127,0.002238567316917173,31,31,True
2023-06,"Hong Kong SAR, China",South China Morning Post,Developing,8,3000,0.0026666666666666666,30,30,True
2023-07,"Hong Kong SAR, China",South China Morning Post,Developing,5,2986,0.0016744809109176155,31,31,True
2023-08,"Hong Kong SAR, China",South China Morning Post,Developing,13,2973,0.004372687521022536,31,31,True
2023-09,"Hong Kong SAR, China",South China Morning Post,Developing,44,2912,0.01510989010989011,30,30,True
2023-10,"Hong Kong SAR, China",South China Morning Post,Developing,28,2623,0.01067479984750286,31,31,True
2023-11,"Hong Kong SAR, China",South China Morning Post,Developing,25,2799,0.008931761343336906,30,30,True
2023-12,"Hong Kong SAR, China",South China Morning Post,Developing,34,2930,0.011604095563139932,31,31,True
2024-01,"Hong Kong SAR, China",South China Morning Post,Developing,34,3085,0.011021069692058346,31,31,True
