Economy,Code,2025 class,Growth rate,Starting level,Level year,Status,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Afghanistan,AFG,L,0.01244,390,2024,projected - raised from -2.6% to the 1.244% floor,,,,,,,,,,,,,,,,180,190,210,250,270,330,370,460,530,550,640,670,640,590,560,530,520,520,490,380,370,370,390,,394.8516,399.763553904,404.736612514566,409.771535974247,414.869093881767,420.030065409656,425.255239423352,430.545414601778,435.901399559425,441.324012969944,446.81408369129,452.37245089241,457.999964181511,463.697483735929,469.465880433604,475.306035986198,481.218843073866,487.205205481705,493.266038237898,499.402267753577,505.614831964432,511.904680474069,518.272774699167,524.720088016424,531.247605911349
Albania,ALB,UM,0.090712,12060,2025,projected - cut from 12.2% to the UM p90 cap of 9.07%,730,730,760,650,410,280,320,380,670,940,860,870,960,1130,1320,1420,1700,2170,2690,3130,3580,4160,4390,4430,4460,4430,4690,4750,4660,4670,4700,5400,5900,5970,6940,7720,8740,9910,12060,13153.986719999999,14347.211163344638,15648.675382393956,17068.198023681674,18616.488402805884,20305.22729880121,22147.15507753006,24156.167808922964,26347.422103205983,28737.449457032002,31344.280972178287,34187.58338772652,37288.80745199396,40671.349753579234,44360.72923242591,48384.779702557724,52773.859838936136,57561.082212645706,62782.56310231922,68477.6949664568,74689.44363225401,81464.67244302304,88854.49580967454,96914.66483356172,105705.98790994377
Algeria,DZA,UM,0.015808597462,5850,2025,projected,2850,2780,2590,2400,2010,1930,1750,1640,1570,1530,1510,1550,1540,1600,1720,1840,2090,2440,2910,3310,3780,4430,4570,4870,5050,5630,5970,6030,5390,4920,4440,4450,4480,4020,4120,4430,4950,5370,5850,5942.480295153447,6036.422574066152,6131.849948650864,6228.785896187253,6327.254265097856,6427.279280815318,6528.885551742401,6632.098075306198,6736.942244108064,6843.443852170771,6951.62910128441,7061.524607452628,7173.157407440754,7286.554965427464,7401.745179761573,7518.756389825667,7637.617383008221,7758.357401785946,7881.006150918099,8005.593804754514,8132.151014659181,8260.70891655116,8391.299138564726,8523.953808830593,8658.705563380165
American Samoa,ASM,H,,,,frozen - only 0 of 10 annual rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,H,,,,frozen - only 6 of 10 annual rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46450,42450,44720,47600,47920,47740,53230,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,LM,0.01244,2860,2025,projected - raised from -0.8% to the 1.244% floor,680,660,870,790,920,340,290,190,370,370,450,420,340,360,400,620,780,1190,1590,2090,2800,3450,3680,3780,3960,4750,5330,5430,4450,2960,2440,2300,2460,2000,1960,2290,2650,2850,2860,2895.5784,2931.599395296,2968.068491773482,3004.991263811144,3042.373355132955,3080.220479670809,3118.538422437914,3157.333040413041,3196.610263435779,3236.376095112921,3276.636613736126,3317.397973211003,3358.666403997748,3400.44821406348,3442.749789846429,3485.577597232119,3528.938182541687,3572.838173532505,3617.28428041125,3662.283296859566,3707.842101072499,3753.967656809841,3800.667014460555,3847.947312120444,3895.815776683222
Antigua and Barbuda,ATG,H,0.065642146585,23790,2025,projected,4840,6050,6550,7040,7550,7850,8410,9000,8730,9380,9850,10130,10590,11200,10610,10710,11680,12850,14050,15740,17310,17750,15750,14390,14100,14530,14500,14830,14550,15080,15860,17460,18250,15460,16690,18730,20250,21200,23790,25351.62666726145,27015.761861126608,28789.13446132502,30678.915045695798,32692.74488419967,34838.76683616023,37125.65827566639,39562.66617826902,42159.64451084354,44927.09407580344,47876.20497077354,51018.901835407225,54367.89206830198,57936.717208976756,61739.80769267258,65792.54119937586,70111.30483299684,74713.56138212272,79617.91993026892,84844.21110113883,90413.56724314381,96348.50787740736,102673.03075475959,109412.7088899083,116594.79396514139
Argentina,ARG,UM,0.062353719637,14650,2025,projected,3490,3860,2910,3180,3850,6040,7080,7570,7310,7680,8080,7960,7510,7400,6930,4010,3620,3340,4230,5440,6460,7600,7720,9160,10590,11770,12760,12240,12500,12130,13070,12390,11210,9040,10070,11890,12920,13530,14650,15563.481992679921,16533.92298542472,17564.87458375524,18660.10984900723,19823.637106925136,21059.714617273094,22372.86615815071,23767.897582048914,25249.91440423747,26824.340487853868,28496.937894077037,30273.827970033177,32161.513751610993,34166.90376317579,36297.33730128425,38560.611294932874,40965.00884064285,43519.32951681357,46232.92158828885,49115.7162189977,52178.2638178804,55431.77265111835,58888.14986198005,62560.04504840703,66460.8965578244
Armenia,ARM,UM,0.090712,9020,2025,projected - cut from 9.2% to the UM p90 cap of 9.07%,,,,,,300,350,390,460,500,540,570,600,630,680,760,910,1120,1460,1910,2600,3390,3140,3280,3360,3700,3940,4000,3910,3690,3900,4220,4650,4230,4580,5690,6850,7810,9020,9838.22224,10730.667055834878,11704.06732580377,12765.76668106208,13923.774908234582,15186.828377710355,16564.455953509216,18067.050881963944,19705.949201568656,21493.51526554135,23443.235022309138,25569.817757652843,27889.307066085046,30419.20188866375,33178.58853038821,36188.284653156785,39470.99633061394,43051.489349756586,46956.7760516517,51216.319120849126,55862.253860939585,60929.63063317313,66456.67928716952,72485.09757866724,79060.3657502233
Aruba,ABW,H,0.050729442971,35200,2024,projected,,10670,11870,12120,12940,13840,14380,15460,16340,16410,17050,17390,17750,20060,20340,19220,21020,23610,19720,23920,22600,26780,24340,23050,23100,23970,24830,25260,25430,25560,26460,27970,29320,22750,26550,30160,31690,35200,,36985.67639257295,38861.939153867264,40833.38367990894,42904.83848860458,45081.37704588459,47368.330191779925,49771.2991968669,52296.169481058096,54949.12502833989,57736.663532761646,60665.612312772435,63743.145032883236,66976.79927360974,70374.49499272853,73944.55392306257,77695.71995430547,81637.18054880439,85778.58924375368,90130.08929491228,94702.33851975366,99506.53540089501,104554.44651373882,109858.43534550341,115431.4925762269,121287.26789590949
