Economy,Code,2025 class,"Median, last 10 years",Floor,Cap,Rate used,Adjustment,Change,Obs,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Status
Afghanistan,AFG,L,-0.026315789474,0.01244,0.055948,0.01244,raised by floor,0.038755789474,9,-0.050847457627,-0.053571428571,-0.018867924528,0,-0.057692307692,-0.224489795918,-0.026315789474,0,0.054054054054,,projected - raised from -2.6% to the 1.244% floor
Albania,ALB,UM,0.122258141584,0.01244,0.090712,0.090712,cut by cap,-0.031546141584,10,0.002145922747,0.006423982869,0.148936170213,0.092592592593,0.01186440678,0.162479061977,0.112391930836,0.132124352332,0.133867276888,0.216952573158,projected - cut from 12.2% to the UM p90 cap of 9.07%
Algeria,DZA,UM,0.015808597462,0.01244,0.090712,0.015808597462,unadjusted,0,10,-0.08719851577,-0.09756097561,0.002252252252,0.006741573034,-0.102678571429,0.024875621891,0.075242718447,0.117381489842,0.084848484848,0.08938547486,projected
American Samoa,ASM,H,,0.01244,0.071689,,frozen,,0,,,,,,,,,,,frozen - only 0 of 10 annual rates
Andorra,AND,H,0.030098682583,0.01244,0.071689,,frozen,,6,,,,,-0.086114101184,0.05347467609,0.064400715564,0.006722689076,-0.003756260434,0.11499790532,frozen - only 6 of 10 annual rates
Angola,AGO,LM,-0.008245614035,0.01244,0.074681,0.01244,raised by floor,0.020685614035,10,-0.334831460674,-0.175675675676,-0.05737704918,0.069565217391,-0.186991869919,-0.02,0.168367346939,0.157205240175,0.075471698113,0.00350877193,projected - raised from -0.8% to the 1.244% floor
Antigua and Barbuda,ATG,H,0.065642146585,0.01244,0.071689,0.065642146585,unadjusted,0,10,0.036426116838,0.051724137931,0.100882723834,0.045246277205,-0.152876712329,0.079560155239,0.122228879569,0.081153230112,0.046913580247,0.122169811321,projected
Argentina,ARG,UM,0.062353719637,0.01244,0.090712,0.062353719637,unadjusted,0,10,-0.0296,0.077493816983,-0.052027543994,-0.095238095238,-0.193577163247,0.113938053097,0.180734856008,0.086627417998,0.047213622291,0.082779009608,projected
Armenia,ARM,UM,0.092319025691,0.01244,0.090712,0.090712,cut by cap,-0.001607025691,10,-0.056265984655,0.056910569106,0.082051282051,0.101895734597,-0.090322580645,0.082742316785,0.242358078603,0.203866432337,0.140145985401,0.154929577465,projected - cut from 9.2% to the UM p90 cap of 9.07%
Aruba,ABW,H,0.050729442971,0.01244,0.071689,0.050729442971,unadjusted,0,9,0.005112072355,0.035211267606,0.057067271353,0.048265999285,-0.224079126876,0.167032967033,0.135969868173,0.050729442971,0.110760492269,,projected
