Economy,Code,2025 class,"Median, last 10 years",Floor,Cap,Rate used,Adjustment,Change,Obs,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Status
Afghanistan,AFG,L,-0.026316,0.01244,0.055948,0.01244,raised by floor,0.038756,9,-0.050847,-0.053571,-0.018868,0,-0.057692,-0.22449,-0.026316,0,0.054054,,projected - raised from -2.6% to the 1.244% floor
Albania,ALB,UM,0.122258,0.01244,0.090712,0.090712,cut by cap,-0.031546,10,0.002146,0.006424,0.148936,0.092593,0.011864,0.162479,0.112392,0.132124,0.133867,0.216953,projected - cut from 12.2% to the UM p90 cap of 9.07%
Algeria,DZA,UM,0.015809,0.01244,0.090712,0.015809,unadjusted,0,10,-0.087199,-0.097561,0.002252,0.006742,-0.102679,0.024876,0.075243,0.117381,0.084848,0.089385,projected
American Samoa,ASM,H,,0.01244,0.071689,,frozen,,0,,,,,,,,,,,frozen - only 0 of 10 annual rates
Andorra,AND,H,0.030099,0.01244,0.071689,,frozen,,6,,,,,-0.086114,0.053475,0.064401,0.006723,-0.003756,0.114998,frozen - only 6 of 10 annual rates
Angola,AGO,LM,-0.008246,0.01244,0.074681,0.01244,raised by floor,0.020686,10,-0.334831,-0.175676,-0.057377,0.069565,-0.186992,-0.02,0.168367,0.157205,0.075472,0.003509,projected - raised from -0.8% to the 1.244% floor
Antigua and Barbuda,ATG,H,0.065642,0.01244,0.071689,0.065642,unadjusted,0,10,0.036426,0.051724,0.100883,0.045246,-0.152877,0.07956,0.122229,0.081153,0.046914,0.12217,projected
Argentina,ARG,UM,0.062354,0.01244,0.090712,0.062354,unadjusted,0,10,-0.0296,0.077494,-0.052028,-0.095238,-0.193577,0.113938,0.180735,0.086627,0.047214,0.082779,projected
Armenia,ARM,UM,0.092319,0.01244,0.090712,0.090712,cut by cap,-0.001607,10,-0.056266,0.056911,0.082051,0.101896,-0.090323,0.082742,0.242358,0.203866,0.140146,0.15493,projected - cut from 9.2% to the UM p90 cap of 9.07%
Aruba,ABW,H,0.050729,0.01244,0.071689,0.050729,unadjusted,0,9,0.005112,0.035211,0.057067,0.048266,-0.224079,0.167033,0.13597,0.050729,0.11076,,projected
Australia,AUS,H,0.026767,0.01244,0.071689,0.026767,unadjusted,0,10,-0.10612,-0.048408,0.030561,0.033971,-0.023961,0.064162,0.062391,0.041619,-0.010107,0.022974,projected
Austria,AUT,H,0.018751,0.01244,0.071689,0.018751,unadjusted,0,10,-0.025641,-0.025663,0.087277,0.04496,-0.037328,0.090612,0.053705,-0.007459,-0.020218,0.102264,projected
Azerbaijan,AZE,UM,0.049353,0.01244,0.090712,0.049353,unadjusted,0,10,-0.27534,-0.141962,-0.007299,0.105392,-0.006652,0.095982,0.154786,0.178131,0.098802,0.002725,projected
"Bahamas, The",BHS,H,0.041136,0.01244,0.071689,0.041136,unadjusted,0,9,0.007241,0.062904,0.036524,0.031974,-0.20392,0.187847,0.129723,0.041136,0.052302,,projected
Bahrain,BHR,H,0.013831,0.01244,0.071689,0.013831,unadjusted,0,10,-0.038917,-0.015845,0.08229,0.066116,-0.074806,0.057394,0.121236,0.005654,-0.01019,0.022009,projected
Bangladesh,BGD,LM,0.097582,0.01244,0.074681,0.074681,cut by cap,-0.022901,10,0.166667,0.171429,0.231707,0.09901,0.045045,0.12069,0.096154,0.010526,-0.020833,0.007092,projected - cut from 9.8% to the LM p90 cap of 7.47%
