Year,Status,LIC / LMIC,LMIC / UMIC,UMIC / HIC
1987,official,480,1940,6000
1988,official,545,2200,6000
1989,official,580,2335,6000
1990,official,610,2465,7620
1991,official,635,2555,7910
1992,official,675,2695,8355
1993,official,695,2785,8625
1994,official,725,2895,8955
1995,official,765,3035,9385
1996,official,785,3115,9645
1997,official,785,3125,9655
1998,official,760,3030,9360
1999,official,755,2995,9265
2000,official,755,2995,9265
2001,official,745,2975,9205
2002,official,735,2935,9075
2003,official,765,3035,9385
2004,official,825,3255,10065
2005,official,875,3465,10725
2006,official,905,3595,11115
2007,official,935,3705,11455
2008,official,975,3855,11905
2009,official,995,3945,12195
2010,official,1005,3975,12275
2011,official,1025,4035,12475
2012,official,1035,4085,12615
2013,official,1045,4125,12745
2014,official,1045,4125,12735
2015,official,1025,4035,12475
2016,official,1005,3955,12235
2017,official,995,3895,12055
2018,official,1025,3995,12375
2019,official,1035,4045,12535
2020,official,1045,4095,12695
2021,official,1085,4255,13205
2022,official,1135,4465,13845
2023,official,1145,4515,14005
2024,official,1135,4495,13935
2025,official,1175,4635,14375
2026,projected,1189.617,4692.6594,14553.825
2027,projected,1204.41583548,4751.036082936001,14734.874583
2028,projected,1219.398768473371,4810.138971807724,14918.176422812521
2029,projected,1234.56808915318,4869.977100617012,15103.758537512309
2030,projected,1249.926116182246,4930.559615748688,15291.649293718961
2031,projected,1265.475197067553,4991.895777368602,15481.877410932826
2032,projected,1281.217708519073,5053.994960839067,15674.471965924831
2033,projected,1297.15605681305,5116.866658151906,15869.462397180936
2034,projected,1313.292678159805,5180.520479379315,16066.878509401868
2035,projected,1329.630039076113,5244.966154142794,16266.750478058828
2036,projected,1346.170636762219,5310.21353310033,16469.10885400588
2037,projected,1362.916999483541,5376.272589452098,16673.984568149714
2038,projected,1379.871686957116,5443.153420464882,16881.408936177497
2039,projected,1397.037290742863,5510.866249015466,17091.413663343545
2040,projected,1414.416434639704,5579.421425153218,17304.03084931554
2041,projected,1432.011775086622,5648.829427682124,17519.292993081024
2042,projected,1449.8260015687,5719.10086576249,17737.23299791495
2043,projected,1467.861837028214,5790.246480532575,17957.884176409014
2044,projected,1486.122038280845,5862.277146750401,18181.280255563543
2045,projected,1504.609396437059,5935.203874455976,18407.455381942753
2046,projected,1523.326737328736,6009.037810654208,18636.44412689412
2047,projected,1542.276921941105,6083.790241018747,18868.28149183268
2048,projected,1561.462846850053,6159.47259161702,19103.002913591077
2049,projected,1580.887444664867,6236.096430656736,19340.64426983615
2050,projected,1600.553684476498,6313.673470254105,19581.24188455291
