record_type,income_group,group_code,economy,gni_per_capita_atlas_usd,data_year,role,threshold_lower_usd,threshold_upper_usd,axis_scale,classification_year,source
threshold,Low income,L,,,,,0,1175,linear,2025,World Bank OGHIST thresholds (FY27); Schellekens 2026
threshold,Lower-middle income,LM,,,,,1176,4635,linear,2025,World Bank OGHIST thresholds (FY27); Schellekens 2026
threshold,Upper-middle income,UM,,,,,4636,14375,linear,2025,World Bank OGHIST thresholds (FY27); Schellekens 2026
threshold,High income,H,,,,,14375,no upper bound,linear,2025,World Bank OGHIST thresholds (FY27); Schellekens 2026
member,Low income,L,Burundi,240,2025,lowest,,,linear,2025,"World Bank WDI (13 July 2026), GNI per capita, Atlas method; Schellekens 2026"
member,Low income,L,Ethiopia,1110,2025,most populous,,,linear,2025,"World Bank WDI (13 July 2026), GNI per capita, Atlas method; Schellekens 2026"
member,Low income,L,Rwanda,1150,2025,highest,,,linear,2025,"World Bank WDI (13 July 2026), GNI per capita, Atlas method; Schellekens 2026"
member,Lower-middle income,LM,Zambia,1200,2025,lowest,,,linear,2025,"World Bank WDI (13 July 2026), GNI per capita, Atlas method; Schellekens 2026"
member,Lower-middle income,LM,India,2760,2025,most populous,,,linear,2025,"World Bank WDI (13 July 2026), GNI per capita, Atlas method; Schellekens 2026"
member,Lower-middle income,LM,Bolivia,4420,2025,highest,,,linear,2025,"World Bank WDI (13 July 2026), GNI per capita, Atlas method; Schellekens 2026"
member,Upper-middle income,UM,Iran,4650,2025,lowest,,,linear,2025,"World Bank WDI (13 July 2026), GNI per capita, Atlas method; Schellekens 2026"
member,Upper-middle income,UM,China,14230,2025,most populous and highest,,,linear,2025,"World Bank WDI (13 July 2026), GNI per capita, Atlas method; Schellekens 2026"
member,High income,H,Argentina,14650,2025,lowest,,,linear,2025,"World Bank WDI (13 July 2026), GNI per capita, Atlas method; Schellekens 2026"
member,High income,H,USA,88810,2025,most populous,,,linear,2025,"World Bank WDI (13 July 2026), GNI per capita, Atlas method; Schellekens 2026"
member,High income,H,Bermuda,139370,2024,highest,,,linear,2025,"World Bank WDI (13 July 2026), GNI per capita, Atlas method; Schellekens 2026"
