rank,economy,iso3,status,run_start,run_end,duration_years,tag,year,years_since_entry,gni_per_capita_atlas_usd,umic_entry_threshold_usd,income_pct_of_line,income_pct_censored_100
1,Azerbaijan,AZE,completed,2003,2009,6,fastest,2003,0,840.0,3036.0,27.67,27.67
1,Azerbaijan,AZE,completed,2003,2009,6,fastest,2004,1,960.0,3256.0,29.48,29.48
1,Azerbaijan,AZE,completed,2003,2009,6,fastest,2005,2,1290.0,3466.0,37.22,37.22
1,Azerbaijan,AZE,completed,2003,2009,6,fastest,2006,3,1920.0,3596.0,53.39,53.39
1,Azerbaijan,AZE,completed,2003,2009,6,fastest,2007,4,2740.0,3706.0,73.93,73.93
1,Azerbaijan,AZE,completed,2003,2009,6,fastest,2008,5,3900.0,3856.0,101.14,100.0
1,Azerbaijan,AZE,completed,2003,2009,6,fastest,2009,6,4820.0,3946.0,122.15,100.0
2,Angola,AGO,completed,2004,2011,7,,2004,0,1190.0,3256.0,36.55,36.55
2,Angola,AGO,completed,2004,2011,7,,2005,1,1590.0,3466.0,45.87,45.87
2,Angola,AGO,completed,2004,2011,7,,2006,2,2090.0,3596.0,58.12,58.12
2,Angola,AGO,completed,2004,2011,7,,2007,3,2800.0,3706.0,75.55,75.55
2,Angola,AGO,completed,2004,2011,7,,2008,4,3450.0,3856.0,89.47,89.47
2,Angola,AGO,completed,2004,2011,7,,2009,5,3680.0,3946.0,93.26,93.26
2,Angola,AGO,completed,2004,2011,7,,2010,6,3780.0,3976.0,95.07,95.07
2,Angola,AGO,completed,2004,2011,7,,2011,7,3960.0,4036.0,98.12,98.12
3,China,CHN,completed,1997,2010,13,,1997,0,760.0,3126.0,24.31,24.31
3,China,CHN,completed,1997,2010,13,,1998,1,800.0,3031.0,26.39,26.39
3,China,CHN,completed,1997,2010,13,,1999,2,860.0,2996.0,28.7,28.7
3,China,CHN,completed,1997,2010,13,,2000,3,950.0,2996.0,31.71,31.71
3,China,CHN,completed,1997,2010,13,,2001,4,1020.0,2976.0,34.27,34.27
3,China,CHN,completed,1997,2010,13,,2002,5,1130.0,2936.0,38.49,38.49
3,China,CHN,completed,1997,2010,13,,2003,6,1300.0,3036.0,42.82,42.82
3,China,CHN,completed,1997,2010,13,,2004,7,1530.0,3256.0,46.99,46.99
3,China,CHN,completed,1997,2010,13,,2005,8,1790.0,3466.0,51.64,51.64
3,China,CHN,completed,1997,2010,13,,2006,9,2090.0,3596.0,58.12,58.12
3,China,CHN,completed,1997,2010,13,,2007,10,2550.0,3706.0,68.81,68.81
3,China,CHN,completed,1997,2010,13,,2008,11,3140.0,3856.0,81.43,81.43
3,China,CHN,completed,1997,2010,13,,2009,12,3740.0,3946.0,94.78,94.78
3,China,CHN,completed,1997,2010,13,,2010,13,4410.0,3976.0,110.92,100.0
4,Viet Nam,VNM,completed,2009,2025,16,median,2009,0,1120.0,3946.0,28.38,28.38
4,Viet Nam,VNM,completed,2009,2025,16,median,2010,1,1370.0,3976.0,34.46,34.46
4,Viet Nam,VNM,completed,2009,2025,16,median,2011,2,1630.0,4036.0,40.39,40.39
4,Viet Nam,VNM,completed,2009,2025,16,median,2012,3,1980.0,4086.0,48.46,48.46
4,Viet Nam,VNM,completed,2009,2025,16,median,2013,4,2200.0,4126.0,53.32,53.32
4,Viet Nam,VNM,completed,2009,2025,16,median,2014,5,2390.0,4126.0,57.93,57.93
