# chart,"Where people live by country income group (population by group, levels and shares)"
# source,World Bank OGHIST (1 July 2026) Country Analytical History with WDI GNI per capita (Atlas method) and population (SP.POP.TOTL) to 2025; UN World Population Prospects 2024 medium variant from 2026; author's calculations.
# method,"Classifications actual through 2025, projected from 2026. GNI per capita grows at each economy's median annual rate over the decade to 2025, floored at the 1.244 percent threshold drift so no economy is downgraded, capped at the 90th percentile of decade medians within its own 2025 income group; 15 economies without a usable growth record held at their 2025 class. All three thresholds rise 1.244 percent a year, the median annual increase in the published thresholds over the same decade."
# note,Middle income is the lower-middle and upper-middle groups combined.
# note,The three groups do not sum to world population: economies the World Bank does not classify are excluded from the groups.
# note,"Values for 1987, 2025 and 2050 are labelled on the chart."
# levels are millions of people or a count of economies; shares are percent

year,low_income_population_millions,middle_income_population_millions,high_income_population_millions,world_population_millions,low_income_share_of_world_percent,middle_income_share_of_world_percent,high_income_share_of_world_percent,labelled_year
1987,2819.4159,1035.2595,790.3853,5026.7704,56.088,20.5949,15.7235,yes
1988,2878.3002,1067.7698,796.3097,5116.8988,56.2509,20.8675,15.5624,
1989,2937.9627,1097.5137,806.4874,5207.3784,56.4192,21.0761,15.4874,
1990,3060.5979,1410.6649,818.2718,5298.962,57.7584,26.6215,15.4421,
1991,3150.1672,1403.8427,824.806,5388.2033,58.4641,26.054,15.3076,
1992,3218.3618,1418.7917,832.0809,5476.8229,58.7633,25.9054,15.1928,
1993,3117.8674,1600.1563,838.721,5564.4591,56.0318,28.7567,15.0728,
1994,3212.3239,1577.1306,855.4875,5650.5344,56.8499,27.9112,15.1399,
1995,3217.6488,1605.9527,906.837,5736.2051,56.0937,27.9968,15.809,
1996,3273.8263,1618.6478,923.967,5822.3279,56.2288,27.8007,15.8694,
1997,2090.6813,2879.0806,932.3635,5908.1803,35.3862,48.7304,15.7809,
1998,3605.6373,1489.2354,892.6044,5993.7308,60.1568,24.8466,14.8923,
1999,2486.1913,2687.5661,898.001,6078.0698,40.9043,44.2174,14.7744,
2000,2531.6182,2718.7111,904.713,6161.5285,41.0875,44.124,14.6833,
2001,2589.3058,2691.1377,958.2301,6244.7397,41.4638,43.0945,15.3446,
2002,2588.7434,2762.6603,969.4191,6327.1713,40.9147,43.6634,15.3215,
2003,2403.3472,3023.8421,975.5104,6409.3524,37.4975,47.1786,15.2201,
2004,2432.9227,3050.6476,1001.7991,6492.3546,37.4737,46.9883,15.4304,
2005,2450.2981,3108.3866,1009.384,6575.41,37.2646,47.2729,15.3509,
2006,2497.8011,3121.4949,1030.7008,6659.536,37.5071,46.8726,15.4771,
2007,1319.4251,4355.8393,1058.848,6744.0495,19.5643,64.5879,15.7005,
2008,973.8079,4775.2051,1072.4992,6830.0809,14.2576,69.9143,15.7026,
2009,842.8781,4943.5477,1120.8237,6916.1682,12.1871,71.4781,16.2058,
2010,811.8037,5055.0871,1124.4787,7000.8601,11.5958,72.2067,16.062,
2011,833.2917,5123.1897,1130.2449,7086.7041,11.7585,72.293,15.9488,
2012,859.0928,5020.2818,1297.1191,7176.4822,11.9709,69.9546,18.0746,
