# chart,"The middle of the classification is emptying out (middle-income economies, counts and shares)"
# source,World Bank OGHIST (1 July 2026) Country Analytical History with WDI GNI per capita (Atlas method); author's calculations.
# method,"Classifications actual through 2025, projected from 2026. GNI per capita grows at each economy's median annual rate over the decade to 2025, floored at the 1.244 percent threshold drift so no economy is downgraded, capped at the 90th percentile of decade medians within its own 2025 income group; 15 economies without a usable growth record held at their 2025 class. All three thresholds rise 1.244 percent a year, the median annual increase in the published thresholds over the same decade."
# note,"Counts of economies, not people. Middle income is the lower-middle and upper-middle groups combined."
# note,"Counts peak 1992; shares peak 1992. Both peaks reflect the post-Soviet entrants, which arrived mostly as lower-middle income."
# note,"Shares are of all economies classified that year, a denominator that rises from 166 in 1987 to 218 from 2025 on."
# levels are millions of people or a count of economies; shares are percent

year,middle_income_economies,all_classified_economies,middle_income_share_of_classified_percent,labelled_on_counts_panel,labelled_on_shares_panel,peak_counts_panel,peak_shares_panel
1987,76,166,45.7831,yes,yes,,
1988,78,167,46.7066,,,,
1989,77,170,45.2941,,,,
1990,89,180,49.4444,,,,
1991,104,197,52.7919,,,,
1992,110,204,53.9216,yes,yes,yes,yes
1993,106,205,51.7073,,,,
1994,97,206,47.0874,,,,
1995,94,206,45.6311,,,,
1996,94,207,45.4106,,,,
1997,95,207,45.8937,,,,
1998,93,207,44.9275,,,,
1999,93,207,44.9275,,,,
2000,92,208,44.2308,,,,
2001,90,209,43.0622,,,,
2002,88,209,42.1053,,,,
2003,93,209,44.4976,,,,
2004,94,209,44.9761,,,,
2005,98,209,46.89,,,,
2006,96,210,45.7143,,,,
2007,95,210,45.2381,,,,
2008,101,211,47.8673,,,,
2009,104,214,48.5981,,,,
2010,110,216,50.9259,,,,
2011,108,215,50.2326,,,,
2012,103,215,47.907,,,,
2013,105,215,48.8372,,,,
2014,104,215,48.3721,,,,
2015,108,218,49.5413,,,,
2016,109,218,50.0,,,,
2017,103,218,47.2477,,,,
2018,107,218,49.0826,,,,
2019,106,218,48.6239,,,,
2020,110,217,50.6912,,,,
2021,108,217,49.7696,,,,
2022,108,217,49.7696,,,,
2023,105,217,48.3871,,,,
2024,104,216,48.1481,,,,
2025,106,218,48.6239,yes,yes,,
2026,101,218,46.3303,,,,
2027,100,218,45.8716,,,,
2028,99,218,45.4128,,,,
2029,99,218,45.4128,,,,
2030,98,218,44.9541,,,,
2031,98,218,44.9541,,,,
2032,96,218,44.0367,,,,
2033,92,218,42.2018,,,,
2034,89,218,40.8257,,,,
2035,89,218,40.8257,,,,
2036,89,218,40.8257,,,,
2037,89,218,40.8257,,,,
2038,88,218,40.367,,,,
2039,87,218,39.9083,,,,
2040,86,218,39.4495,,,,
2041,87,218,39.9083,,,,
2042,87,218,39.9083,,,,
2043,86,218,39.4495,,,,
2044,83,218,38.0734,,,,
2045,82,218,37.6147,,,,
2046,80,218,36.6972,,,,
2047,80,218,36.6972,,,,
2048,79,218,36.2385,,,,
2049,78,218,35.7798,,,,
2050,78,218,35.7798,yes,yes,,
