# chart,"How many economies sit in each income group (economies by group, counts and shares)"
# source,World Bank OGHIST (1 July 2026) Country Analytical History with WDI GNI per capita (Atlas method); author's calculations.
# method,"Classifications actual through 2025, projected from 2026. GNI per capita grows at each economy's median annual rate over the decade to 2025, floored at the 1.244 percent threshold drift so no economy is downgraded, capped at the 90th percentile of decade medians within its own 2025 income group; 15 economies without a usable growth record held at their 2025 class. All three thresholds rise 1.244 percent a year, the median annual increase in the published thresholds over the same decade."
# note,"Counts of economies, not people. Middle income is the lower-middle and upper-middle groups combined."
# note,The three counts sum to all classified economies in every year.
# note,"Values for 1987, 2025 and 2050 are labelled on the chart."
# levels are millions of people or a count of economies; shares are percent

year,low_income_economies,middle_income_economies,high_income_economies,all_classified_economies,low_income_share_of_classified_percent,middle_income_share_of_classified_percent,high_income_share_of_classified_percent,labelled_year
1987,49,76,41,166,29.5181,45.7831,24.6988,yes
1988,48,78,41,167,28.7425,46.7066,24.5509,
1989,49,77,44,170,28.8235,45.2941,25.8824,
1990,51,89,40,180,28.3333,49.4444,22.2222,
1991,54,104,39,197,27.4112,52.7919,19.797,
1992,55,110,39,204,26.9608,53.9216,19.1176,
1993,59,106,40,205,28.7805,51.7073,19.5122,
1994,64,97,45,206,31.068,47.0874,21.8447,
1995,63,94,49,206,30.5825,45.6311,23.7864,
1996,63,94,50,207,30.4348,45.4106,24.1546,
1997,61,95,51,207,29.4686,45.8937,24.6377,
1998,63,93,51,207,30.4348,44.9275,24.6377,
1999,64,93,50,207,30.9179,44.9275,24.1546,
2000,63,92,53,208,30.2885,44.2308,25.4808,
2001,66,90,53,209,31.5789,43.0622,25.3589,
2002,64,88,57,209,30.622,42.1053,27.2727,
2003,61,93,55,209,29.1866,44.4976,26.3158,
2004,59,94,56,209,28.2297,44.9761,26.7943,
2005,54,98,57,209,25.8373,46.89,27.2727,
2006,53,96,61,210,25.2381,45.7143,29.0476,
2007,49,95,66,210,23.3333,45.2381,31.4286,
2008,43,101,67,211,20.3791,47.8673,31.7536,
2009,40,104,70,214,18.6916,48.5981,32.7103,
2010,35,110,71,216,16.2037,50.9259,32.8704,
2011,36,108,71,215,16.7442,50.2326,33.0233,
2012,36,103,76,215,16.7442,47.907,35.3488,
2013,34,105,76,215,15.814,48.8372,35.3488,
2014,31,104,80,215,14.4186,48.3721,37.2093,
2015,31,108,79,218,14.2202,49.5413,36.2385,
2016,31,109,78,218,14.2202,50.0,35.7798,
2017,34,103,81,218,15.5963,47.2477,37.156,
2018,31,107,80,218,14.2202,49.0826,36.6972,
2019,29,106,83,218,13.3028,48.6239,38.0734,
2020,27,110,80,217,12.4424,50.6912,36.8664,
2021,28,108,81,217,12.9032,49.7696,37.3272,
2022,26,108,83,217,11.9816,49.7696,38.2488,
2023,26,105,86,217,11.9816,48.3871,39.6313,
2024,25,104,87,216,11.5741,48.1481,40.2778,
2025,25,106,87,218,11.4679,48.6239,39.9083,yes
2026,24,101,93,218,11.0092,46.3303,42.6606,
2027,21,100,97,218,9.633,45.8716,44.4954,
2028,21,99,98,218,9.633,45.4128,44.9541,
2029,20,99,99,218,9.1743,45.4128,45.4128,
2030,20,98,100,218,9.1743,44.9541,45.8716,
2031,19,98,101,218,8.7156,44.9541,46.3303,
2032,19,96,103,218,8.7156,44.0367,47.2477,
2033,19,92,107,218,8.7156,42.2018,49.0826,
2034,19,89,110,218,8.7156,40.8257,50.4587,
2035,19,89,110,218,8.7156,40.8257,50.4587,
2036,19,89,110,218,8.7156,40.8257,50.4587,
2037,19,89,110,218,8.7156,40.8257,50.4587,
2038,19,88,111,218,8.7156,40.367,50.9174,
2039,18,87,113,218,8.2569,39.9083,51.8349,
2040,18,86,114,218,8.2569,39.4495,52.2936,
2041,17,87,114,218,7.7982,39.9083,52.2936,
2042,17,87,114,218,7.7982,39.9083,52.2936,
2043,17,86,115,218,7.7982,39.4495,52.7523,
2044,16,83,119,218,7.3394,38.0734,54.5872,
2045,16,82,120,218,7.3394,37.6147,55.0459,
2046,16,80,122,218,7.3394,36.6972,55.9633,
2047,16,80,122,218,7.3394,36.6972,55.9633,
2048,16,79,123,218,7.3394,36.2385,56.422,
2049,16,78,124,218,7.3394,35.7798,56.8807,
2050,16,78,124,218,7.3394,35.7798,56.8807,yes
