from_year,to_year,from_group,to_group,economies,population_millions_at_to_year,largest
1990,2000,L,L,44,2301.1,"India, Indonesia, Pakistan"
1990,2000,L,LM,7,1363.3,"China, Egypt, Arab Rep., Sri Lanka"
1990,2000,LM,L,10,124.5,"Korea, Dem. Rep., Yemen, Rep., Côte d'Ivoire"
1990,2000,LM,LM,33,477.3,"Philippines, Iran, Islamic Rep., Thailand"
1990,2000,LM,UM,13,193.8,"Türkiye, Poland, Argentina"
1990,2000,UM,LM,2,24.9,"Iraq, Suriname"
1990,2000,UM,UM,19,436,"Brazil, Mexico, South Africa"
1990,2000,UM,H,8,22.8,"Greece, Portugal, Macao SAR, China"
1990,2000,H,UM,1,0.2,Mayotte
1990,2000,H,H,39,879.7,"United States, Japan, Germany"
2000,2010,L,L,35,811.8,"Bangladesh, Ethiopia, Congo, Dem. Rep."
2000,2010,L,LM,27,2233.4,"India, Indonesia, Pakistan"
2000,2010,L,UM,1,9.1,Azerbaijan
2000,2010,LM,LM,26,359.6,"Philippines, Egypt, Arab Rep., Morocco"
2000,2010,LM,UM,26,1864.6,"China, Russian Federation, Iran, Islamic Rep."
2000,2010,LM,H,1,1.2,Equatorial Guinea
2000,2010,UM,UM,25,577.7,"Brazil, Mexico, Türkiye"
2000,2010,UM,H,13,152.2,"Korea, Rep., Poland, Saudi Arabia"
2000,2010,H,H,52,970.8,"United States, Japan, Germany"
2010,2020,L,L,23,577.4,"Ethiopia, Congo, Dem. Rep., Uganda"
2010,2020,L,LM,12,435.3,"Bangladesh, Tanzania, Myanmar"
2010,2020,LM,L,3,104,"Sudan, Yemen, Rep., Syrian Arab Republic"
2010,2020,LM,LM,40,2818.6,"India, Indonesia, Pakistan"
2010,2020,LM,UM,13,86,"Iraq, Guatemala, Turkmenistan"
2010,2020,UM,LM,3,143.7,"Iran, Islamic Rep., Algeria, Tunisia"
2010,2020,UM,UM,41,2435.7,"China, Brazil, Russian Federation"
2010,2020,UM,H,8,27.7,"Chile, Uruguay, Lithuania"
2010,2020,H,UM,1,1.7,Equatorial Guinea
2010,2020,H,H,70,1184.5,"United States, Japan, Germany"
2020,2030,L,L,20,612.4,"Congo, Dem. Rep., Sudan, Afghanistan"
2020,2030,L,LM,7,285.2,"Ethiopia, Uganda, Mali"
2020,2030,LM,LM,37,3053.6,"India, Pakistan, Nigeria"
2020,2030,LM,UM,18,755.5,"Indonesia, Philippines, Viet Nam"
2020,2030,UM,LM,2,9.5,"Lebanon, Namibia"
2020,2030,UM,UM,33,682.1,"Brazil, Thailand, South Africa"
2020,2030,UM,H,20,1869.9,"China, Russian Federation, Mexico"
2020,2030,H,H,80,1255.5,"United States, Japan, Germany"
2030,2040,L,L,18,728.4,"Congo, Dem. Rep., Sudan, Afghanistan"
2030,2040,L,LM,2,35.9,"Burkina Faso, Gambia, The"
2030,2040,LM,LM,38,1817.6,"Pakistan, Nigeria, Ethiopia"
2030,2040,LM,UM,9,1978.6,"India, Bangladesh, Uzbekistan"
2030,2040,UM,UM,37,1387.3,"Indonesia, Brazil, Philippines"
2030,2040,UM,H,14,122.6,"Malaysia, Peru, Dominican Republic"
2030,2040,H,H,100,3090.6,"China, United States, Mexico"
2040,2050,L,L,16,651,"Sudan, Afghanistan, Yemen, Rep."
2040,2050,L,LM,2,227.2,"Congo, Dem. Rep., Liberia"
2040,2050,LM,LM,35,1962.7,"Pakistan, Nigeria, Ethiopia"
2040,2050,LM,UM,5,179.7,"Kenya, Côte d'Ivoire, Guinea"
2040,2050,UM,UM,36,3033.4,"India, Indonesia, Bangladesh"
2040,2050,UM,H,10,455.7,"Brazil, Viet Nam, Colombia"
2040,2050,H,H,114,3139.2,"China, United States, Mexico"
