text,col2,col3,col4,col5
"How many economies the projection covers, and where the others drop out",,,,
"An annual rate for year y needs a GNI per capita value in both y-1 and y. The decade to 2025 therefore holds ten rates, 2015-16 through 2024-25, which require eleven consecutive annual values from 2015 to 2025.",,,,
,,,,
Step,Economies,Set aside here,"2050 population, millions",Share of the 2050 total
Listed on the OGHIST Country Analytical History worksheet,226,,,
Parsed into this workbook,224,2,,
"Classified in at least one year, 1987 to 2025",224,0,,
"Classified in 2025, the base for the projection",218,6,9481.4,1
   of which projected forward: 8 or more of the 10 annual rates,197,,9277.4,0.978479
   of which held at their 2025 class for want of data,21,,204.1,0.021521
"The last two rows are a split of the 218, not a further loss. The 21 frozen economies stay in every chart and in every population total; their class is simply held at its 2025 value instead of being projected.",,,,
,,,,
Left the classification before 2025 (6),,,,
   Czechoslovakia (former),last classified 1991,,,
   Mayotte,last classified 2010,,,
   Netherlands Antilles (former),last classified 2009,,,
   Serbia and Montenegro (former),last classified 2005,,,
   USSR (former),last classified 1990,,,
   Yugoslavia (former),last classified 1991,,,
,,,,
"Held at their 2025 class (21), with 2050 population",,,,
"   Yemen, Rep.",L,3,59,
"   Korea, Dem. Rep.",L,0,43.5,
   Syrian Arab Republic,L,7,38.2,
"   Taiwan, China",H,0,23.9,
   South Sudan,L,0,19.4,
   Cuba,UM,4,11.1,
   Eritrea,L,0,7.8,
   New Caledonia,H,5,0.3,
   Channel Islands,H,0,0.2,
   Guam,H,0,0.2,
   Virgin Islands (U.S.),H,0,0.1,
   Andorra,H,6,0.1,
   Greenland,H,0,0.1,
   American Samoa,H,0,0.1,
   Northern Mariana Islands,H,0,0.1,
   Liechtenstein,H,0,0,
   Monaco,H,0,0,
   British Virgin Islands,H,0,0,
   Gibraltar,H,0,0,
   San Marino,H,6,0,
   St. Martin (French part),H,0,0,
,,,,
"The 21 frozen economies carry 204 million people in 2050, 2.2 percent of the classified total. Fifteen are high-income territories of negligible size; the six that matter are Yemen, Korea Dem. Rep., Syria, South Sudan, Cuba and Eritrea.",,,,
