Economy,Code,2025 class,Growth rate,Starting level,Level year,Status,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Afghanistan,AFG,L,0.01244,390,2024,projected - raised from -2.6% to the 1.244% floor,,,,,,,,,,,,,,,,180,190,210,250,270,330,370,460,530,550,640,670,640,590,560,530,520,520,490,380,370,370,390,,394.8516,399.763554,404.736613,409.771536,414.869094,420.030065,425.255239,430.545415,435.9014,441.324013,446.814084,452.372451,457.999964,463.697484,469.46588,475.306036,481.218843,487.205205,493.266038,499.402268,505.614832,511.90468,518.272775,524.720088,531.247606
Albania,ALB,UM,0.090712,12060,2025,projected - cut from 12.2% to the UM p90 cap of 9.07%,730,730,760,650,410,280,320,380,670,940,860,870,960,1130,1320,1420,1700,2170,2690,3130,3580,4160,4390,4430,4460,4430,4690,4750,4660,4670,4700,5400,5900,5970,6940,7720,8740,9910,12060,13153.98672,14347.211163,15648.675382,17068.198024,18616.488403,20305.227299,22147.155078,24156.167809,26347.422103,28737.449457,31344.280972,34187.583388,37288.807452,40671.349754,44360.729232,48384.779703,52773.859839,57561.082213,62782.563102,68477.694966,74689.443632,81464.672443,88854.49581,96914.664834,105705.98791
Algeria,DZA,UM,0.015809,5850,2025,projected,2850,2780,2590,2400,2010,1930,1750,1640,1570,1530,1510,1550,1540,1600,1720,1840,2090,2440,2910,3310,3780,4430,4570,4870,5050,5630,5970,6030,5390,4920,4440,4450,4480,4020,4120,4430,4950,5370,5850,5942.480295,6036.422574,6131.849949,6228.785896,6327.254265,6427.279281,6528.885552,6632.098075,6736.942244,6843.443852,6951.629101,7061.524607,7173.157407,7286.554965,7401.74518,7518.75639,7637.617383,7758.357402,7881.006151,8005.593805,8132.151015,8260.708917,8391.299139,8523.953809,8658.705563
American Samoa,ASM,H,,,,frozen - only 0 of 10 annual rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,H,,,,frozen - only 6 of 10 annual rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46450,42450,44720,47600,47920,47740,53230,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,LM,0.01244,2860,2025,projected - raised from -0.8% to the 1.244% floor,680,660,870,790,920,340,290,190,370,370,450,420,340,360,400,620,780,1190,1590,2090,2800,3450,3680,3780,3960,4750,5330,5430,4450,2960,2440,2300,2460,2000,1960,2290,2650,2850,2860,2895.5784,2931.599395,2968.068492,3004.991264,3042.373355,3080.22048,3118.538422,3157.33304,3196.610263,3236.376095,3276.636614,3317.397973,3358.666404,3400.448214,3442.74979,3485.577597,3528.938183,3572.838174,3617.28428,3662.283297,3707.842101,3753.967657,3800.667014,3847.947312,3895.815777
Antigua and Barbuda,ATG,H,0.065642,23790,2025,projected,4840,6050,6550,7040,7550,7850,8410,9000,8730,9380,9850,10130,10590,11200,10610,10710,11680,12850,14050,15740,17310,17750,15750,14390,14100,14530,14500,14830,14550,15080,15860,17460,18250,15460,16690,18730,20250,21200,23790,25351.626667,27015.761861,28789.134461,30678.915046,32692.744884,34838.766836,37125.658276,39562.666178,42159.644511,44927.094076,47876.204971,51018.901835,54367.892068,57936.717209,61739.807693,65792.541199,70111.304833,74713.561382,79617.91993,84844.211101,90413.567243,96348.507877,102673.030755,109412.70889,116594.793965
Argentina,ARG,UM,0.062354,14650,2025,projected,3490,3860,2910,3180,3850,6040,7080,7570,7310,7680,8080,7960,7510,7400,6930,4010,3620,3340,4230,5440,6460,7600,7720,9160,10590,11770,12760,12240,12500,12130,13070,12390,11210,9040,10070,11890,12920,13530,14650,15563.481993,16533.922985,17564.874584,18660.109849,19823.637107,21059.714617,22372.866158,23767.897582,25249.914404,26824.340488,28496.937894,30273.82797,32161.513752,34166.903763,36297.337301,38560.611295,40965.008841,43519.329517,46232.921588,49115.716219,52178.263818,55431.772651,58888.149862,62560.045048,66460.896558
Armenia,ARM,UM,0.090712,9020,2025,projected - cut from 9.2% to the UM p90 cap of 9.07%,,,,,,300,350,390,460,500,540,570,600,630,680,760,910,1120,1460,1910,2600,3390,3140,3280,3360,3700,3940,4000,3910,3690,3900,4220,4650,4230,4580,5690,6850,7810,9020,9838.22224,10730.667056,11704.067326,12765.766681,13923.774908,15186.828378,16564.455954,18067.050882,19705.949202,21493.515266,23443.235022,25569.817758,27889.307066,30419.201889,33178.58853,36188.284653,39470.996331,43051.48935,46956.776052,51216.319121,55862.253861,60929.630633,66456.679287,72485.097579,79060.36575
Aruba,ABW,H,0.050729,35200,2024,projected,,10670,11870,12120,12940,13840,14380,15460,16340,16410,17050,17390,17750,20060,20340,19220,21020,23610,19720,23920,22600,26780,24340,23050,23100,23970,24830,25260,25430,25560,26460,27970,29320,22750,26550,30160,31690,35200,,36985.676393,38861.939154,40833.38368,42904.838489,45081.377046,47368.330192,49771.299197,52296.169481,54949.125028,57736.663533,60665.612313,63743.145033,66976.799274,70374.494993,73944.553923,77695.719954,81637.180549,85778.589244,90130.089295,94702.33852,99506.535401,104554.446514,109858.435346,115431.492576,121287.267896
Australia,AUS,H,0.026767,64120,2025,projected,12580,14160,15620,17370,18260,18600,18980,18950,19400,20620,22090,21960,21650,21340,20370,20240,21420,25890,30790,34670,37470,42510,44230,46900,50570,60500,66360,65500,60780,54330,51700,53280,55090,53770,57220,60790,63320,62680,64120,65836.324527,67598.590568,69408.027857,71265.899045,73173.500581,75132.163616,77143.254932,79208.177897,81328.373444,83505.321075,85740.539894,88035.589669,90392.071918,92811.631027,95295.955399,97846.77863,100465.880721,103155.089318,105916.280988,108751.38253,111662.372317,114651.28168,117720.196321,120871.257773,124106.66489
Austria,AUT,H,0.018751,60360,2025,projected,13760,18000,19220,20550,21720,24430,24770,26040,28080,29930,29410,27810,26980,26660,25190,24860,27950,33610,38510,41170,44230,48890,48900,49460,50380,49760,50260,49960,47190,45980,44800,48710,50900,49000,53440,56310,55890,54760,60360,61491.787919,62644.797573,63819.426883,65016.08123,66235.173597,67477.124713,68742.363192,70031.325687,71344.457039,72682.210428,74045.047534,75433.438692,76847.863057,78288.808767,79756.773114,81252.262715,82775.793685,84327.891818,85909.092766,87519.942226,89160.996124,90832.820815,92535.993268,94271.101275,96038.743647
Azerbaijan,AZE,UM,0.049353,7360,2025,projected,,,,,,160,110,80,180,240,410,510,600,630,680,740,840,960,1290,1920,2740,3900,4820,5400,5490,6440,7450,7740,6610,4790,4110,4080,4510,4480,4910,5670,6680,7340,7360,7723.241534,8104.410297,8504.391062,8924.112264,9364.548165,9826.721104,10311.703882,10820.622243,11354.65749,11915.049229,12503.098245,13120.16952,13767.695402,14447.178934,15160.197335,15908.405668,16693.540678,17517.424825,18381.970512,19289.184529,20241.172704,21240.144799,22288.419632,23388.430465,24542.730649
"Bahamas, The",BHS,H,0.041136,37020,2024,projected,10030,10880,11540,11020,10530,10750,10530,10790,13250,14770,13460,16180,22250,23880,24520,25220,25900,27470,28880,29230,29690,29660,27920,27320,26990,27910,26870,27220,27620,27820,29570,30650,31630,25180,29910,33790,35180,37020,,38542.870672,40128.386808,41779.125419,43497.769524,45287.112515,47150.062689,49089.647985,51109.020897,53211.463603,55400.393298,57679.367749,60052.091075,62522.419769,65094.36897,67772.11898,70560.02207,73462.609542,76484.599102,79630.902528,82906.633647,86317.116653,89867.894758,93564.7392,97413.658629,101420.908865
Bahrain,BHR,H,0.013831,28790,2025,projected,8630,8730,8530,9880,11240,11380,11590,11180,11920,12380,11890,11650,11570,12500,12730,12480,13180,14680,16550,17850,19600,21070,18940,19510,20040,24670,25970,25480,23640,22720,22360,24200,25800,23870,25240,28300,28460,28170,28790,29188.20802,29591.923843,30001.223648,30416.184672,30836.885217,31263.404668,31695.823511,32134.223342,32578.686887,33029.298016,33486.141759,33949.304323,34418.873106,34894.936716,35377.584985,35866.908989,36363.001063,36865.95482,37375.865167,37892.828323,38416.94184,38948.304617,39487.016922,40033.180411,40586.898143
Bangladesh,BGD,LM,0.074681,2840,2025,projected - cut from 9.8% to the LM p90 cap of 7.47%,250,270,280,290,300,300,300,300,320,350,370,390,400,410,420,420,440,490,530,550,580,640,700,780,870,950,1010,1080,1200,1400,1640,2020,2220,2320,2600,2850,2880,2820,2840,3052.09404,3280.027475,3524.983207,3788.232478,4071.141467,4375.178383,4701.92108,5053.065248,5430.433214,5835.983397,6271.820473,6740.206298,7243.571644,7784.528818,8365.885215,8990.657889,9662.089211,10383.663695,11159.126083,11992.500778,12888.112729,13850.609876,14884.987272,15996.613006,17191.256062
Barbados,BRB,H,0.026987,27080,2025,projected,6710,7460,7920,7670,7640,7540,7770,8110,8470,8850,9250,9670,10110,11170,11030,11030,11660,12660,13610,14630,15950,16600,16150,16220,17150,19080,19410,19620,19280,19300,19570,20240,20800,18290,20700,24760,24710,25360,27080,27810.796096,28561.313867,29332.085532,30123.657674,30936.591626,31771.463871,32628.866448,33509.407372,34413.711068,35342.418813,36296.189186,37275.698542,38281.641488,39314.731376,40375.700808,41465.302158,42584.308101,43733.512168,44913.729301,46125.796437,47370.573098,48648.942002,49961.809687,51310.107157,52694.79054
Belarus,BLR,UM,0.072292,9160,2025,projected,,,,,,1680,1610,1450,1360,1440,1520,1540,1410,1380,1300,1380,1630,2170,2820,3510,4310,5470,5660,6150,6350,6630,7030,7620,6740,5640,5320,5730,6370,6410,7040,7210,7850,8380,9160,9822.192855,10532.256821,11293.652586,12110.091019,12985.551253,13924.30008,14930.912746,16010.29525,17167.708254,18408.792723,19739.597418,21166.608375,22696.780517,24337.571553,26096.978319,27983.575762,30006.558723,32175.786755,34501.83218,36996.031606,39670.541189,42538.395875,45613.572927,48911.060053,52446.928447
Belgium,BEL,H,0.033679,59500,2025,projected,13090,17010,18030,19310,20580,23170,23410,25090,27070,28550,28450,26530,25980,25890,24460,24060,27100,32910,37780,39940,42740,46570,47120,47110,46720,47170,47950,48050,45520,43240,42310,45980,48070,46330,51140,54330,55520,55290,59500,61503.892459,63575.27374,65716.416792,67929.671112,70217.465325,72582.309849,75026.799653,77553.617099,80165.534888,82865.419103,85656.232353,88541.037026,91522.998646,94605.389348,97791.59147,101085.101263,104489.532726,108008.621577,111646.229346,115406.347615,119293.102399,123310.758672,127463.725048,131756.558617,136193.969948
Belize,BLZ,UM,0.032319,7530,2025,projected,2200,2550,2830,3080,3320,3690,3830,3800,3890,3910,3950,3860,4060,4470,4470,4550,4820,5000,5050,5160,5210,5170,5280,5060,5160,5330,5580,5670,5790,5640,5490,5610,5850,5170,6120,6710,6850,7150,7530,7773.364601,8024.594584,8283.944153,8551.675728,8828.06021,9113.377255,9407.915557,9711.973142,10025.857666,10349.886729,10684.388197,11029.70053,11386.173128,11754.166684,12134.053547,12526.218102,12931.057155,13348.980337,13780.410519,14225.784238,14685.552139,15160.179434,15650.146369,16155.948709,16678.098245
Benin,BEN,LM,0.03671,1600,2025,projected,290,340,320,350,360,350,360,310,340,330,360,350,390,450,510,510,570,690,780,810,870,970,1020,1020,1030,1050,1140,1180,1100,1040,1020,1120,1170,1190,1280,1360,1390,1430,1600,1658.735868,1719.627926,1782.755326,1848.200127,1916.047402,1986.385344,2059.305387,2134.902318,2213.274407,2294.523528,2378.755299,2466.07921,2556.608775,2650.461673,2747.759903,2848.629943,2953.202914,3061.61475,3174.006376,3290.523889,3411.318751,3536.547981,3666.374367,3800.966669,3940.499843
Bermuda,BMU,H,0.032611,139370,2024,projected,,,,,,,,,,,,,,,,,,,,,,,,105750,102930,101910,104040,102450,103940,105430,113460,117160,116920,110850,120460,131560,133460,139370,,143914.940948,148608.095201,153454.296085,158458.534543,163625.964279,168961.907059,174471.858197,180161.492212,186036.668672,192103.43823,198368.048855,204836.952264,211516.81057,218414.503141,225537.133685,232892.037569,240486.789367,248329.210667,256427.378122,264789.631771,273424.583627,282341.126544,291548.44338,301056.01645,310873.637294
Bhutan,BTN,LM,0.057642,4310,2025,projected,430,480,500,500,430,420,400,430,450,500,550,520,550,710,780,860,960,1090,1260,1390,1700,1850,1980,2180,2430,2620,2630,2670,2740,2880,2960,3150,3370,3040,3300,3600,3730,3910,4310,4558.437192,4821.19481,5099.098313,5393.020742,5703.885458,6032.669051,6380.404401,6748.183925,7137.163012,7548.563647,7983.678254,8443.873754,8930.595861,9445.373624,9989.824226,10565.658072,11174.684156,11818.815746,12500.076394,13220.606295,13982.66901,14788.658575,15641.107021,16542.692336,17496.246867
Bolivia,BOL,LM,0.056313,4420,2025,projected,690,690,690,690,710,740,760,790,820,870,930,960,950,960,930,900,890,940,1000,1090,1210,1460,1600,1760,1970,2220,2550,2800,2920,3000,3250,3730,4170,3620,3990,4190,4230,4160,4420,4668.901942,4931.820214,5209.544113,5502.907382,5812.790715,6140.124403,6485.89112,6851.12888,7236.934148,7644.465136,8074.945277,8529.666897,9009.995101,9517.371861,10053.320355,10619.449532,11217.458947,11849.143861,12516.400631,13221.232402,13965.755123,14752.203896,15582.939689,16460.456421,17387.388451
Bosnia and Herzegovina,BIH,UM,0.077175,9940,2025,projected,,,,,,1140,980,580,510,640,900,1230,1270,1340,1430,1590,1860,2360,2810,3160,3680,4500,4790,4820,4900,4900,5170,5180,5140,5070,5070,5720,6180,6160,6970,7710,8280,8810,9940,10707.117221,11533.436538,12423.526859,13382.309696,14415.086379,15527.567366,16725.903818,18016.721611,19407.157971,20904.900938,22518.231876,24256.071259,26128.027998,28144.452569,30316.494244,32656.162737,35176.39461,37891.1248,40815.36367,43965.280004,47358.29041,51013.155615,54950.084206,59190.844357,63758.884201
