Economy,Code,2025 class,History,Rebase factor,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Afghanistan,AFG,L,WDI,1.0,12.046,12.239,13.279,14.943,16.251,17.066,17.763,18.452,19.16,19.888,20.13,20.284,21.378,22.733,23.561,24.405,25.424,25.91,26.483,27.466,28.284,29.348,30.56,31.623,32.793,33.832,34.701,35.689,36.743,37.856,39.069,40.0,40.579,41.455,42.647,43.844,45.047,46.259,47.471,48.726,50.039,51.376,52.708,54.044,55.359,56.647,57.954,59.279,60.598,61.944,63.348,64.739,66.06,67.375,68.704,70.021,71.385,72.756,74.11,75.516,76.885
Albania,ALB,UM,WDI,0.847762,3.287,3.267,3.247,3.227,3.208,3.188,3.168,3.148,3.129,3.109,3.089,3.06,3.051,3.04,3.027,3.011,2.993,2.97,2.947,2.928,2.913,2.905,2.861,2.817,2.774,2.731,2.689,2.648,2.608,2.568,2.528,2.49,2.452,2.412,2.377,2.35,2.332,2.315,2.299,2.282,2.265,2.248,2.231,2.214,2.197,2.179,2.162,2.143,2.125,2.106,2.087,2.068,2.049,2.031,2.012,1.993,1.974,1.956,1.937,1.918,1.899
Algeria,DZA,UM,WDI,1.0,25.376,25.988,26.629,27.277,27.887,28.47,29.033,29.579,30.054,30.474,30.904,31.331,31.751,32.176,32.628,33.109,33.624,34.189,34.817,35.49,36.188,36.903,37.646,38.414,39.205,40.02,40.851,41.689,42.505,43.295,44.042,44.761,45.477,46.164,46.814,47.435,48.028,48.593,49.136,49.655,50.154,50.637,51.113,51.584,52.048,52.517,52.986,53.453,53.922,54.396,54.873,55.352,55.835,56.32,56.806,57.29,57.768,58.234,58.691,59.136,59.566
American Samoa,ASM,H,WDI,1.000011,0.047,0.048,0.049,0.05,0.051,0.052,0.053,0.054,0.055,0.056,0.057,0.057,0.057,0.057,0.057,0.057,0.056,0.056,0.056,0.056,0.055,0.055,0.054,0.054,0.053,0.053,0.052,0.052,0.051,0.05,0.05,0.049,0.048,0.048,0.047,0.046,0.045,0.045,0.044,0.043,0.043,0.042,0.042,0.042,0.041,0.041,0.041,0.04,0.04,0.04,0.039,0.039,0.039,0.039,0.039,0.038,0.038,0.038,0.038,0.038,0.038
Andorra,AND,H,WDI,0.999994,0.053,0.057,0.06,0.063,0.065,0.064,0.064,0.065,0.065,0.066,0.066,0.066,0.067,0.069,0.074,0.077,0.08,0.082,0.083,0.084,0.081,0.078,0.077,0.075,0.074,0.072,0.072,0.074,0.075,0.076,0.077,0.078,0.08,0.081,0.082,0.083,0.084,0.084,0.085,0.085,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.085,0.085,0.085,0.085,0.084,0.084,0.084,0.083,0.083,0.082
Angola,AGO,LM,WDI,1.0,11.626,12.024,12.424,12.827,13.25,13.7,14.171,14.66,15.159,15.667,16.195,16.747,17.328,17.944,18.6,19.291,20.015,20.779,21.579,22.415,23.295,24.218,25.177,26.166,27.161,28.158,29.183,30.235,31.297,32.376,33.451,34.532,35.635,36.75,37.886,39.04,40.215,41.415,42.642,43.892,45.16,46.45,47.76,49.091,50.447,51.822,53.216,54.626,56.054,57.502,58.965,60.441,61.928,63.431,64.945,66.464,68.001,69.554,71.119,72.701,74.295
Antigua and Barbuda,ATG,H,WDI,1.000005,0.063,0.063,0.064,0.066,0.067,0.068,0.07,0.071,0.072,0.074,0.075,0.076,0.077,0.078,0.079,0.08,0.081,0.082,0.083,0.084,0.085,0.086,0.087,0.088,0.089,0.089,0.09,0.09,0.091,0.091,0.092,0.092,0.093,0.093,0.094,0.094,0.095,0.095,0.095,0.096,0.096,0.096,0.096,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.096,0.096,0.096,0.096,0.095,0.095
Argentina,ARG,UM,WDI,1.0,32.756,33.23,33.694,34.153,34.613,35.07,35.514,35.948,36.373,36.795,37.214,37.625,38.029,38.424,38.816,39.217,39.622,40.017,40.424,40.855,41.289,41.731,42.162,42.582,43.024,43.477,43.9,44.289,44.655,44.973,45.192,45.312,45.408,45.538,45.696,45.851,46.004,46.153,46.3,46.444,46.585,46.724,46.86,46.994,47.125,47.252,47.375,47.495,47.609,47.717,47.818,47.91,47.995,48.07,48.136,48.192,48.238,48.272,48.296,48.308,48.309
Armenia,ARM,UM,WDI,1.045501,3.552,3.614,3.572,3.453,3.365,3.308,3.279,3.246,3.208,3.167,3.221,3.212,3.2,3.183,3.165,3.146,3.127,3.107,3.087,3.066,3.045,3.028,3.024,3.022,3.014,3.005,2.992,2.979,2.969,2.962,2.962,2.962,2.969,2.964,3.034,3.087,3.064,3.043,3.022,3.002,2.981,2.961,2.941,2.921,2.902,2.882,2.863,2.844,2.825,2.806,2.787,2.768,2.75,2.732,2.714,2.697,2.679,2.662,2.644,2.626,2.609
Aruba,ABW,H,WDI,1.005895,0.063,0.066,0.069,0.074,0.078,0.08,0.083,0.086,0.088,0.09,0.091,0.091,0.092,0.093,0.095,0.098,0.099,0.1,0.101,0.102,0.102,0.103,0.104,0.106,0.107,0.108,0.109,0.109,0.109,0.109,0.109,0.108,0.107,0.107,0.108,0.109,0.109,0.109,0.109,0.109,0.108,0.108,0.108,0.108,0.108,0.107,0.107,0.107,0.106,0.106,0.106,0.105,0.105,0.104,0.104,0.103,0.103,0.102,0.102,0.101,0.101
