Year,Status,LIC / LMIC,LMIC / UMIC,UMIC / HIC
1987,official,480.0,1940.0,6000.0
1988,official,545.0,2200.0,6000.0
1989,official,580.0,2335.0,6000.0
1990,official,610.0,2465.0,7620.0
1991,official,635.0,2555.0,7910.0
1992,official,675.0,2695.0,8355.0
1993,official,695.0,2785.0,8625.0
1994,official,725.0,2895.0,8955.0
1995,official,765.0,3035.0,9385.0
1996,official,785.0,3115.0,9645.0
1997,official,785.0,3125.0,9655.0
1998,official,760.0,3030.0,9360.0
1999,official,755.0,2995.0,9265.0
2000,official,755.0,2995.0,9265.0
2001,official,745.0,2975.0,9205.0
2002,official,735.0,2935.0,9075.0
2003,official,765.0,3035.0,9385.0
2004,official,825.0,3255.0,10065.0
2005,official,875.0,3465.0,10725.0
2006,official,905.0,3595.0,11115.0
2007,official,935.0,3705.0,11455.0
2008,official,975.0,3855.0,11905.0
2009,official,995.0,3945.0,12195.0
2010,official,1005.0,3975.0,12275.0
2011,official,1025.0,4035.0,12475.0
2012,official,1035.0,4085.0,12615.0
2013,official,1045.0,4125.0,12745.0
2014,official,1045.0,4125.0,12735.0
2015,official,1025.0,4035.0,12475.0
2016,official,1005.0,3955.0,12235.0
2017,official,995.0,3895.0,12055.0
2018,official,1025.0,3995.0,12375.0
2019,official,1035.0,4045.0,12535.0
2020,official,1045.0,4095.0,12695.0
2021,official,1085.0,4255.0,13205.0
2022,official,1135.0,4465.0,13845.0
2023,official,1145.0,4515.0,14005.0
2024,official,1135.0,4495.0,13935.0
2025,official,1175.0,4635.0,14375.0
2026,projected,1189.617,4692.6594,14553.825
2027,projected,1204.415835,4751.036083,14734.874583
2028,projected,1219.398768,4810.138972,14918.176423
2029,projected,1234.568089,4869.977101,15103.758538
2030,projected,1249.926116,4930.559616,15291.649294
2031,projected,1265.475197,4991.895777,15481.877411
2032,projected,1281.217709,5053.994961,15674.471966
2033,projected,1297.156057,5116.866658,15869.462397
2034,projected,1313.292678,5180.520479,16066.878509
2035,projected,1329.630039,5244.966154,16266.750478
2036,projected,1346.170637,5310.213533,16469.108854
2037,projected,1362.916999,5376.272589,16673.984568
2038,projected,1379.871687,5443.15342,16881.408936
2039,projected,1397.037291,5510.866249,17091.413663
2040,projected,1414.416435,5579.421425,17304.030849
2041,projected,1432.011775,5648.829428,17519.292993
2042,projected,1449.826002,5719.100866,17737.232998
2043,projected,1467.861837,5790.246481,17957.884176
2044,projected,1486.122038,5862.277147,18181.280256
2045,projected,1504.609396,5935.203874,18407.455382
2046,projected,1523.326737,6009.037811,18636.444127
2047,projected,1542.276922,6083.790241,18868.281492
2048,projected,1561.462847,6159.472592,19103.002914
2049,projected,1580.887445,6236.096431,19340.64427
2050,projected,1600.553684,6313.67347,19581.241885
